	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in ALC1 KO #1	-2.87951021280642	0.164115607881739	-17.5456207363372	5.96619765671414e-31
Olaparib2 in ALC1 KO #1	0.556757048826783	0.164115607881739	3.39246861412463	0.00102693582656705
Olaparib1: ALC1 KO #1 vs. WT	0.75057426491157	0.232094518463459	3.23391637976034	0.00170209301681735
Olaparib2: ALC1 KO #1 vs. WT	-1.01652475053729	0.23209451846346	-4.37978784362083	3.17088584198706e-05
Olaparib1: ALC1 KO #1 vs. PARP1 KO	1.58764742792666	0.232094518463459	6.84052100169104	8.88542257387374e-10
Olaparib2: ALC1 KO #1 vs. PARP1 KO	-1.19161883046061	0.23209451846346	-5.13419635392302	1.59907229268852e-06
Olaparib1: ALC1 KO #1 vs. ALC1 KO #2	0.0817528238769148	0.23209451846346	0.352239356698921	0.725473209870042
Olaparib2: ALC1 KO #1 vs. ALC1 KO #2	-0.0728271927830022	0.23209451846346	-0.313782476489069	0.754404411087221
Olaparib1: ALC1 KO #1 vs. ALC1 KO #3	0.148739634004843	0.23209451846346	0.640858021936698	0.523225565128947
Olaparib2: ALC1 KO #1 vs. ALC1 KO #3	-0.210521783532818	0.232094518463459	-0.907051941280391	0.366774987737537
Olaparib1: ALC1 KO #1 vs. ALC1 KO PARP1 KO #1	1.4653973200417	0.23209451846346	6.31379547325418	9.77963037928892e-09
Olaparib2: ALC1 KO #1 vs. ALC1 KO PARP1 KO #1	-0.665843324350034	0.23209451846346	-2.86884554085176	0.00512086661932152
Olaparib1: ALC1 KO #1 vs. ALC1 KO PARP1 KO #2	1.19827388868934	0.232094518463459	5.1628702677784	1.4206808010618e-06
Olaparib2: ALC1 KO #1 vs. ALC1 KO PARP1 KO #2	-1.02368133802325	0.23209451846346	-4.4106226411565	2.82077029750825e-05
