	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in WT	-2.12893594789485	0.164115607881738	-12.9721723324997	2.10236210983869e-22
Olaparib2 in WT	-0.459767701710507	0.164115607881738	-2.80148675464076	0.00621389470471683
Olaparib1: WT vs. ALC1 KO #1	-0.750574264911571	0.232094518463459	-3.23391637976035	0.00170209301681732
Olaparib2: WT vs. ALC1 KO #1	1.01652475053729	0.232094518463459	4.37978784362084	3.1708858419869e-05
Olaparib1: WT vs. ALC1 KO #2	-0.668821441034656	0.232094518463459	-2.88167702306142	0.00493384328920976
Olaparib2: WT vs. ALC1 KO #2	0.943697557754288	0.232094518463459	4.06600536713177	0.000101489117670942
Olaparib1: WT vs. ALC1 KO #3	-0.601834630906728	0.232094518463459	-2.59305835782365	0.011084000762709
Olaparib2: WT vs. ALC1 KO #3	0.806002967004471	0.232094518463459	3.47273590234044	0.000790411008918866
Olaparib1: WT vs. ALC1 KO PARP1 KO #1	0.714823055130127	0.232094518463459	3.07987909349384	0.00273830857757182
Olaparib2: WT vs. ALC1 KO PARP1 KO #1	0.350681426187256	0.232094518463459	1.51094230276906	0.134267990438494
Olaparib1: WT vs. ALC1 KO PARP1 KO #2	0.447699623777769	0.232094518463459	1.92895388801806	0.0568529777762427
Olaparib2: WT vs. ALC1 KO PARP1 KO #2	-0.00715658748596041	0.232094518463459	-0.0308347975356735	0.975468816662189
Olaparib1: WT vs. PARP1 KO	0.837073163015092	0.232094518463459	3.6066046219307	0.000506351062995518
Olaparib2: WT vs. PARP1 KO	-0.175094079923325	0.232094518463459	-0.7544085103022	0.45255181327136
