	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in ALC1KO+ALC1WT	-2.61534143740054	0.170768907729651	-15.3150914424127	1.61393412619055e-27
Olaparib2 in ALC1KO+ALC1WT	-1.53258303826547	0.170768907729651	-8.97460233622707	2.3718547864173e-14
Olaparib3 in ALC1KO+ALC1WT	-0.480610363512415	0.170768907729652	-2.81439033546599	0.00592923903547862
Olaparib1: ALC1KO+ALC1WT vs. ALC1KO	-1.04465934264561	0.241503705342912	-4.32564519522503	3.72384633259727e-05
Olaparib2: ALC1KO+ALC1WT vs. ALC1KO	0.769206627958129	0.241503705342912	3.18507174399635	0.00195214796988061
Olaparib3: ALC1KO+ALC1WT vs. ALC1KO	0.728234007343409	0.241503705342912	3.01541546250558	0.00328370084640567
Olaparib1: ALC1KO+ALC1WT vs. WT	1.85378070699634	0.241503705342912	7.67599281495141	1.36895425949581e-11
Olaparib2: ALC1KO+ALC1WT vs. WT	1.01925584425365	0.241503705342912	4.22045633960939	5.53422969503173e-05
Olaparib3: ALC1KO+ALC1WT vs. WT	0.171552661423123	0.241503705342912	0.710352088302473	0.479207927827674
Olaparib1: ALC1KO+ALC1WT vs. ALC1KO+ALC1G750E	-0.762189212417118	0.241503705342912	-3.15601456853377	0.00213690513382843
Olaparib2: ALC1KO+ALC1WT vs. ALC1KO+ALC1G750E	0.290804803712164	0.241503705342912	1.2041422027014	0.231495158470466
Olaparib3: ALC1KO+ALC1WT vs. ALC1KO+ALC1G750E	0.319886069127321	0.241503705342912	1.32455967362121	0.188461838069598
Olaparib1: ALC1KO+ALC1WT vs. ALC1KO+ALC1E175Q	-1.23761551937705	0.241503705342912	-5.12462331631622	1.54095356626109e-06
Olaparib2: ALC1KO+ALC1WT vs. ALC1KO+ALC1E175Q	1.18437816684059	0.241503705342912	4.90418217459185	3.81989758641473e-06
Olaparib3: ALC1KO+ALC1WT vs. ALC1KO+ALC1E175Q	0.675201068866902	0.241503705342912	2.79582074282538	0.0062530661524142
Olaparib1: ALC1KO+ALC1WT vs. ALC1KO+ALC1K77R	-1.12520420075438	0.241503705342912	-4.65915915930438	1.02175007987189e-05
Olaparib2: ALC1KO+ALC1WT vs. ALC1KO+ALC1K77R	0.363820287877903	0.241503705342912	1.50647911327619	0.13522779062304
Olaparib3: ALC1KO+ALC1WT vs. ALC1KO+ALC1K77R	0.731359670267343	0.241503705342912	3.02835796754705	0.00315812683102642
