	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in ALC1KO	-3.66000078004616	0.170768907729651	-21.4324775435139	2.28947770397808e-38
Olaparib2 in ALC1KO	-0.76337641030734	0.170768907729651	-4.4702306787361	2.14015435729231e-05
Olaparib3 in ALC1KO	0.247623643830995	0.170768907729651	1.45005110779894	0.150303583069026
Olaparib1: ALC1KO vs. WT	2.89844004964195	0.241503705342912	12.0016380101764	8.18715659190889e-21
Olaparib2: ALC1KO vs. WT	0.250049216295523	0.241503705342912	1.03538459561304	0.303090447915717
Olaparib3: ALC1KO vs. WT	-0.556681345920286	0.241503705342912	-2.30506337420311	0.0233168313445924
Olaparib1: ALC1KO vs. ALC1KO+ALC1WT	1.04465934264561	0.241503705342912	4.32564519522505	3.7238463325971e-05
Olaparib2: ALC1KO vs. ALC1KO+ALC1WT	-0.769206627958131	0.241503705342913	-3.18507174399635	0.0019521479698806
Olaparib3: ALC1KO vs. ALC1KO+ALC1WT	-0.72823400734341	0.241503705342912	-3.01541546250558	0.00328370084640566
Olaparib1: ALC1KO vs. ALC1KO+ALC1G750E	0.282470130228496	0.241503705342912	1.16963062669128	0.24504540999038
Olaparib2: ALC1KO vs. ALC1KO+ALC1G750E	-0.478401824245966	0.241503705342912	-1.98092954129495	0.0504605046188477
Olaparib3: ALC1KO vs. ALC1KO+ALC1G750E	-0.408347938216088	0.241503705342912	-1.69085578888437	0.094108699687397
Olaparib1: ALC1KO vs. ALC1KO+ALC1E175Q	-0.192956176731439	0.241503705342912	-0.798978121091184	0.426275428872905
Olaparib2: ALC1KO vs. ALC1KO+ALC1E175Q	0.415171538882464	0.241503705342912	1.7191104305955	0.088817224171945
Olaparib3: ALC1KO vs. ALC1KO+ALC1E175Q	-0.0530329384765078	0.241503705342912	-0.219594719680205	0.82665305486099
Olaparib1: ALC1KO vs. ALC1KO+ALC1K77R	-0.0805448581087631	0.241503705342913	-0.333513964079338	0.739473710461088
Olaparib2: ALC1KO vs. ALC1KO+ALC1K77R	-0.405386340080225	0.241503705342912	-1.67859263072016	0.0964838802733091
Olaparib3: ALC1KO vs. ALC1KO+ALC1K77R	0.00312566292393355	0.241503705342912	0.0129425050414668	0.989700522368652
