	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in WT	-0.761560730404207	0.170768907729651	-4.45959829882998	2.22992441925122e-05
Olaparib2 in WT	-0.513327194011818	0.170768907729651	-3.00597574134796	0.00337818541741268
Olaparib3 in WT	-0.30905770208929	0.170768907729651	-1.80980077812858	0.073455767151474
Olaparib1: WT vs. ALC1KO	-2.89844004964194	0.241503705342912	-12.0016380101764	8.18715659190912e-21
Olaparib2: WT vs. ALC1KO	-0.250049216295525	0.241503705342912	-1.03538459561305	0.303090447915713
Olaparib3: WT vs. ALC1KO	0.556681345920285	0.241503705342912	2.3050633742031	0.0233168313445928
Olaparib1: WT vs. ALC1KO+ALC1WT	-1.85378070699633	0.241503705342912	-7.67599281495139	1.36895425949591e-11
Olaparib2: WT vs. ALC1KO+ALC1WT	-1.01925584425365	0.241503705342913	-4.22045633960939	5.53422969503181e-05
Olaparib3: WT vs. ALC1KO+ALC1WT	-0.171552661423124	0.241503705342912	-0.710352088302479	0.47920792782767
Olaparib1: WT vs. ALC1KO+ALC1G750E	-2.61596991941345	0.241503705342912	-10.8320073834852	2.45601835282996e-18
Olaparib2: WT vs. ALC1KO+ALC1G750E	-0.728451040541489	0.241503705342912	-3.01631413690799	0.0032748344232406
Olaparib3: WT vs. ALC1KO+ALC1G750E	0.148333407704196	0.241503705342912	0.614207585318728	0.54053103934336
Olaparib1: WT vs. ALC1KO+ALC1E175Q	-3.09139622637339	0.241503705342912	-12.8006161312676	1.77465806533196e-22
Olaparib2: WT vs. ALC1KO+ALC1E175Q	0.165122322586941	0.241503705342912	0.683725834982462	0.495795341572671
Olaparib3: WT vs. ALC1KO+ALC1E175Q	0.503648407443778	0.241503705342912	2.0854686545229	0.0396797534155671
Olaparib1: WT vs. ALC1KO+ALC1K77R	-2.97898490775071	0.241503705342912	-12.3351519742558	1.64198761378844e-21
Olaparib2: WT vs. ALC1KO+ALC1K77R	-0.655435556375747	0.241503705342912	-2.7139772263332	0.00788180205887612
Olaparib3: WT vs. ALC1KO+ALC1K77R	0.559807008844218	0.241503705342912	2.31800587924457	0.0225721725237446
