	Estimate	Std. Error	t value	Pr(>|t|)
MMS in ALC1 KO	-709.141065565765	41.5851382389867	-17.0527523917411	3.99732499554289e-39
Olaparib in ALC1 KO	-0.245109122641382	0.0110845428704691	-22.1126956254	1.10385418993036e-52
MMS:Olaparib in ALC1 KO	163.228959027689	18.4104236327492	8.86611640686698	8.25730811554196e-16
MMS: ALC1 KO vs. WT	378.933187109685	58.8102664907349	6.44331695333133	1.08202519806141e-09
MMS: ALC1 KO vs. ALC1 KO PARP1 KO 	-0.513433167200989	58.8102664907349	-0.00873033226744307	0.993044179057114
MMS: ALC1 KO vs. PARP1 KO	45.1733152380313	58.8102664907348	0.768119546697652	0.443445538531071
Olaparib: ALC1 KO vs. WT	0.13878440424515	0.0156759108601234	8.85335502884181	8.93745306553107e-16
Olaparib: ALC1 KO vs. ALC1 KO PARP1 KO 	0.166044022966872	0.0156759108601234	10.592304616203	1.35558651238669e-20
Olaparib: ALC1 KO vs. PARP1 KO	0.168814907545082	0.0156759108601234	10.7690652907778	4.26992695831541e-21
MMS:Olaparib: ALC1 KO vs. WT	-193.604954096289	26.0362707904681	-7.43597098272491	4.37086198022093e-12
MMS:Olaparib: ALC1 KO vs. ALC1 KO PARP1 KO 	-136.372090577595	26.0362707904681	-5.23777355348144	4.60222908562899e-07
MMS:Olaparib: ALC1 KO vs. PARP1 KO	-142.358881134013	26.0362707904681	-5.46771395487756	1.54297129134351e-07
