	Estimate	Std. Error	t value	Pr(>|t|)
MMS in ALC1 KO PARP1 KO 	-709.654498732966	41.5851382389867	-17.0650989460378	3.69131184418056e-39
Olaparib in ALC1 KO PARP1 KO 	-0.0790650996745101	0.0110845428704692	-7.13291478037864	2.45715576907381e-11
MMS:Olaparib in ALC1 KO PARP1 KO 	26.8568684500948	18.4104236327492	1.45878601089443	0.146406350631845
MMS: ALC1 KO PARP1 KO  vs. ALC1 KO	0.513433167201853	58.8102664907348	0.00873033226745777	0.993044179057102
MMS: ALC1 KO PARP1 KO  vs. WT	379.446620276886	58.8102664907349	6.45204728559877	1.03278842043518e-09
MMS: ALC1 KO PARP1 KO  vs. PARP1 KO	45.6867484052335	58.8102664907349	0.776849878965114	0.438290181729417
Olaparib: ALC1 KO PARP1 KO  vs. ALC1 KO	-0.166044022966872	0.0156759108601235	-10.592304616203	1.35558651238678e-20
Olaparib: ALC1 KO PARP1 KO  vs. WT	-0.0272596187217221	0.0156759108601234	-1.73894958736117	0.083792177316612
Olaparib: ALC1 KO PARP1 KO  vs. PARP1 KO	0.00277088457821052	0.0156759108601234	0.176760674574842	0.859899621233573
MMS:Olaparib: ALC1 KO PARP1 KO  vs. ALC1 KO	136.372090577595	26.0362707904681	5.23777355348143	4.60222908562917e-07
MMS:Olaparib: ALC1 KO PARP1 KO  vs. WT	-57.2328635186938	26.0362707904681	-2.19819742924347	0.02923983909981
MMS:Olaparib: ALC1 KO PARP1 KO  vs. PARP1 KO	-5.98679055641849	26.0362707904681	-0.229940401396127	0.818405108146828
