	Estimate	Std. Error	t value	Pr(>|t|)
MMS in PARP1 KO	-663.967750327733	41.5851382389867	-15.9664673112774	4.65998767580358e-36
Olaparib in PARP1 KO	-0.0762942150962997	0.0110845428704691	-6.8829374371007	9.92599148377587e-11
MMS:Olaparib in PARP1 KO	20.8700778936763	18.4104236327492	1.13360117670252	0.258503649497182
MMS: PARP1 KO vs. ALC1 KO PARP1 KO 	-45.6867484052324	58.8102664907349	-0.776849878965095	0.438290181729428
MMS: PARP1 KO vs. ALC1 KO	-45.1733152380307	58.8102664907348	-0.76811954669764	0.443445538531077
MMS: PARP1 KO vs. WT	333.759871871653	58.810266490735	5.67519740663365	5.60730909327794e-08
Olaparib: PARP1 KO vs. ALC1 KO PARP1 KO 	-0.00277088457821026	0.0156759108601234	-0.176760674574826	0.859899621233585
Olaparib: PARP1 KO vs. ALC1 KO	-0.168814907545082	0.0156759108601234	-10.7690652907778	4.26992695831554e-21
Olaparib: PARP1 KO vs. WT	-0.0300305032999326	0.0156759108601235	-1.91571026193601	0.0570230147577187
MMS:Olaparib: PARP1 KO vs. ALC1 KO PARP1 KO 	5.98679055641817	26.0362707904681	0.229940401396115	0.818405108146838
MMS:Olaparib: PARP1 KO vs. ALC1 KO	142.358881134013	26.0362707904681	5.46771395487755	1.54297129134355e-07
MMS:Olaparib: PARP1 KO vs. WT	-51.2460729622752	26.0362707904681	-1.96825702784734	0.050609089472326
