	Estimate	Std. Error	t value	Pr(>|t|)
MMS in WT	-330.207878456079	41.5851382389867	-7.94052616967147	2.28660378470431e-13
Olaparib in WT	-0.106324718396232	0.0110845428704691	-9.59216087110791	8.59146488050883e-18
MMS:Olaparib in WT	-30.3759950685991	18.4104236327492	-1.64993460631536	0.100739845189126
MMS: WT vs. ALC1 KO	-378.933187109685	58.8102664907349	-6.44331695333132	1.08202519806144e-09
MMS: WT vs. ALC1 KO PARP1 KO 	-379.446620276886	58.8102664907349	-6.45204728559876	1.03278842043521e-09
MMS: WT vs. PARP1 KO	-333.759871871653	58.8102664907349	-5.67519740663366	5.60730909327748e-08
Olaparib: WT vs. ALC1 KO	-0.13878440424515	0.0156759108601234	-8.85335502884181	8.93745306553121e-16
Olaparib: WT vs. ALC1 KO PARP1 KO 	0.0272596187217222	0.0156759108601234	1.73894958736117	0.0837921773166111
Olaparib: WT vs. PARP1 KO	0.0300305032999326	0.0156759108601234	1.91571026193601	0.0570230147577188
MMS:Olaparib: WT vs. ALC1 KO	193.604954096289	26.0362707904681	7.43597098272491	4.37086198022098e-12
MMS:Olaparib: WT vs. ALC1 KO PARP1 KO 	57.2328635186936	26.0362707904681	2.19819742924346	0.0292398390998106
MMS:Olaparib: WT vs. PARP1 KO	51.2460729622754	26.0362707904681	1.96825702784735	0.0506090894723249
