	Estimate	Std. Error	t value	Pr(>|t|)
MMS1 in ALC1 KO	-2.08074322122284	0.114285855948278	-18.2064806179036	1.95217425249452e-40
MMS2 in ALC1 KO	0.0386875649732288	0.114285855948278	0.338515773909395	0.735429722471546
Olaparib1 in ALC1 KO	-2.98312710299559	0.114285855948278	-26.1023297961356	8.44380940674204e-59
Olaparib2 in ALC1 KO	0.443871429536198	0.114285855948278	3.88387019420043	0.000151515735316542
MMS1:Olaparib1 in ALC1 KO	14.8960619511708	1.58359127271132	9.40650672169139	6.32510551114581e-17
MMS2:Olaparib1 in ALC1 KO	-0.276460118787884	1.58359127271132	-0.174577950479955	0.861637639180793
MMS1:Olaparib2 in ALC1 KO	0.596798528414554	1.58359127271132	0.376863991800584	0.706786815029578
MMS2:Olaparib2 in ALC1 KO	1.5566592211362	1.58359127271132	0.982993053801692	0.327132935644826
MMS1: ALC1 KO vs. WT	0.098662619749762	0.161624607469472	0.610443058730383	0.542456647382936
MMS2: ALC1 KO vs. WT	0.0868970827204953	0.161624607469472	0.537647602558965	0.591586502660435
MMS1: ALC1 KO vs. ALC1 KO PARP1 KO 	-1.30144530708683	0.161624607469472	-8.05227203619132	1.95081028338792e-13
MMS2: ALC1 KO vs. ALC1 KO PARP1 KO 	0.0274663745579757	0.161624607469472	0.169939311767013	0.865278047888834
MMS1: ALC1 KO vs. PARP1 KO	-1.1242550899771	0.161624607469472	-6.9559648594318	9.0722550900133e-11
MMS2: ALC1 KO vs. PARP1 KO	-0.102577096375243	0.161624607469472	-0.634662617167487	0.526578157374137
Olaparib1: ALC1 KO vs. WT	0.833512299079746	0.161624607469472	5.1570878477597	7.51008650267068e-07
Olaparib2: ALC1 KO vs. WT	-0.800812353717351	0.161624607469472	-4.95476750883129	1.86690457894909e-06
Olaparib1: ALC1 KO vs. ALC1 KO PARP1 KO 	1.80273015458806	0.161624607469472	11.1538099477121	1.29987709882332e-21
Olaparib2: ALC1 KO vs. ALC1 KO PARP1 KO 	-0.326124478701721	0.161624607469472	-2.01778976486189	0.0453273731176047
Olaparib1: ALC1 KO vs. PARP1 KO	1.80143346179598	0.161624607469472	11.1457870803258	1.36675717808125e-21
Olaparib2: ALC1 KO vs. PARP1 KO	-0.665991125332527	0.161624607469472	-4.12060475047601	6.11651338814792e-05
MMS1:Olaparib1: ALC1 KO vs. WT	-17.6681356509948	2.23953625512401	-7.88919385009754	4.98209815982134e-13
MMS2:Olaparib1: ALC1 KO vs. WT	0.864959709224397	2.23953625512401	0.386222686614421	0.699858000621543
MMS1:Olaparib2: ALC1 KO vs. WT	1.04562957042544	2.23953625512402	0.466895576275248	0.641226012499444
MMS2:Olaparib2: ALC1 KO vs. WT	-2.20671381011831	2.23953625512401	-0.985344088567171	0.325980854291161
MMS1:Olaparib1: ALC1 KO vs. ALC1 KO PARP1 KO 	-12.4451391576291	2.23953625512401	-5.55701615866001	1.15992926944125e-07
MMS2:Olaparib1: ALC1 KO vs. ALC1 KO PARP1 KO 	0.443241793634943	2.23953625512401	0.197916775234522	0.843367845852976
MMS1:Olaparib2: ALC1 KO vs. ALC1 KO PARP1 KO 	1.28191532683925	2.23953625512401	0.572402131872728	0.56787357218312
MMS2:Olaparib2: ALC1 KO vs. ALC1 KO PARP1 KO 	-2.41766011582725	2.23953625512401	-1.07953604693637	0.282015076986549
MMS1:Olaparib1: ALC1 KO vs. PARP1 KO	-12.9914858570647	2.23953625512401	-5.80097144100277	3.55957676826358e-08
MMS2:Olaparib1: ALC1 KO vs. PARP1 KO	-2.34075423482451	2.23953625512401	-1.04519595495224	0.297549261050229
MMS1:Olaparib2: ALC1 KO vs. PARP1 KO	2.15200501503178	2.23953625512401	0.960915461898879	0.338081699456545
MMS2:Olaparib2: ALC1 KO vs. PARP1 KO	-2.65495814731253	2.23953625512401	-1.18549460462542	0.237624607049058
