	Estimate	Std. Error	t value	Pr(>|t|)
MMS1 in ALC1 KO PARP1 KO 	-3.38218852830967	0.114285855948277	-29.5941129394031	6.96110199747148e-66
MMS2 in ALC1 KO PARP1 KO 	0.0661539395312043	0.114285855948277	0.578846253390654	0.563527743410986
Olaparib1 in ALC1 KO PARP1 KO 	-1.18039694840753	0.114285855948278	-10.3284604959492	2.21417552133925e-19
Olaparib2 in ALC1 KO PARP1 KO 	0.117746950834478	0.114285855948277	1.03028454271513	0.304471170212217
MMS1:Olaparib1 in ALC1 KO PARP1 KO 	2.45092279354172	1.58359127271131	1.54769910378795	0.123721046086483
MMS2:Olaparib1 in ALC1 KO PARP1 KO 	0.166781674847053	1.58359127271131	0.105318637277851	0.916258272144572
MMS1:Olaparib2 in ALC1 KO PARP1 KO 	1.8787138552538	1.58359127271131	1.18636284982627	0.237282702970788
MMS2:Olaparib2 in ALC1 KO PARP1 KO 	-0.861000894691045	1.58359127271131	-0.543701464846355	0.587423079100505
MMS1: ALC1 KO PARP1 KO  vs. ALC1 KO	1.30144530708683	0.161624607469472	8.05227203619133	1.95081028338785e-13
MMS2: ALC1 KO PARP1 KO  vs. ALC1 KO	-0.0274663745579754	0.161624607469472	-0.169939311767011	0.865278047888835
MMS1: ALC1 KO PARP1 KO  vs. WT	1.40010792683659	0.161624607469472	8.66271509492171	5.48361671598562e-15
MMS2: ALC1 KO PARP1 KO  vs. WT	0.0594307081625207	0.161624607469472	0.367708290791959	0.713589164619655
MMS1: ALC1 KO PARP1 KO  vs. PARP1 KO	0.177190217109723	0.161624607469472	1.09630717675952	0.274633885303748
MMS2: ALC1 KO PARP1 KO  vs. PARP1 KO	-0.130043470933218	0.161624607469472	-0.804601928934498	0.422273942019262
Olaparib1: ALC1 KO PARP1 KO  vs. ALC1 KO	-1.80273015458806	0.161624607469472	-11.1538099477121	1.29987709882311e-21
Olaparib2: ALC1 KO PARP1 KO  vs. ALC1 KO	0.326124478701721	0.161624607469472	2.01778976486189	0.0453273731176048
Olaparib1: ALC1 KO PARP1 KO  vs. WT	-0.969217855508309	0.161624607469472	-5.99672209995238	1.34998132813754e-08
Olaparib2: ALC1 KO PARP1 KO  vs. WT	-0.474687875015632	0.161624607469472	-2.93697774396942	0.00381663718200451
Olaparib1: ALC1 KO PARP1 KO  vs. PARP1 KO	-0.00129669279207846	0.161624607469472	-0.00802286738622633	0.993608997222849
Olaparib2: ALC1 KO PARP1 KO  vs. PARP1 KO	-0.339866646630806	0.161624607469472	-2.10281498561412	0.0370872297918985
MMS1:Olaparib1: ALC1 KO PARP1 KO  vs. ALC1 KO	12.4451391576291	2.23953625512401	5.55701615866002	1.15992926944123e-07
MMS2:Olaparib1: ALC1 KO PARP1 KO  vs. ALC1 KO	-0.443241793634935	2.23953625512401	-0.197916775234519	0.843367845852978
MMS1:Olaparib2: ALC1 KO PARP1 KO  vs. ALC1 KO	-1.28191532683925	2.23953625512401	-0.57240213187273	0.567873572183118
MMS2:Olaparib2: ALC1 KO PARP1 KO  vs. ALC1 KO	2.41766011582725	2.23953625512401	1.07953604693637	0.282015076986549
MMS1:Olaparib1: ALC1 KO PARP1 KO  vs. WT	-5.22299649336578	2.23953625512401	-2.33217769143754	0.0209695284400486
MMS2:Olaparib1: ALC1 KO PARP1 KO  vs. WT	0.421717915589495	2.23953625512401	0.188305911379918	0.850881584772215
MMS1:Olaparib2: ALC1 KO PARP1 KO  vs. WT	-0.236285756413782	2.23953625512401	-0.105506555597466	0.916109409777573
MMS2:Olaparib2: ALC1 KO PARP1 KO  vs. WT	0.210946305708916	2.23953625512401	0.0941919583691825	0.925077544708447
MMS1:Olaparib1: ALC1 KO PARP1 KO  vs. PARP1 KO	-0.546346699435619	2.23953625512401	-0.243955282342757	0.807585993490901
MMS2:Olaparib1: ALC1 KO PARP1 KO  vs. PARP1 KO	-2.78399602845944	2.23953625512401	-1.24311273018676	0.215691380495139
MMS1:Olaparib2: ALC1 KO PARP1 KO  vs. PARP1 KO	0.870089688192532	2.23953625512401	0.388513330026154	0.698165906284398
MMS2:Olaparib2: ALC1 KO PARP1 KO  vs. PARP1 KO	-0.237298031485285	2.23953625512401	-0.105958557689054	0.915751361591091
