	Estimate	Std. Error	t value	Pr(>|t|)
MMS1 in PARP1 KO	-3.20499831119995	0.114285855948277	-28.0437004615028	8.22304646967332e-63
MMS2 in PARP1 KO	-0.0638895314020136	0.114285855948277	-0.559032706820065	0.576941035499358
Olaparib1 in PARP1 KO	-1.1816936411996	0.114285855948278	-10.3398065438159	2.06399805020817e-19
Olaparib2 in PARP1 KO	-0.222119695796328	0.114285855948278	-1.94354492910175	0.0537502052462182
MMS1:Olaparib1 in PARP1 KO	1.90457609410611	1.58359127271131	1.20269423488627	0.230916896019631
MMS2:Olaparib1 in PARP1 KO	-2.61721435361239	1.58359127271131	-1.65270824531091	0.100401452310138
MMS1:Olaparib2 in PARP1 KO	2.74880354344634	1.58359127271131	1.73580367031199	0.0845730711419187
MMS2:Olaparib2 in PARP1 KO	-1.09829892617633	1.58359127271131	-0.693549494179705	0.488996147456907
MMS1: PARP1 KO vs. ALC1 KO PARP1 KO 	-0.177190217109722	0.161624607469472	-1.09630717675952	0.274633885303749
MMS2: PARP1 KO vs. ALC1 KO PARP1 KO 	0.130043470933217	0.161624607469472	0.804601928934494	0.422273942019264
MMS1: PARP1 KO vs. ALC1 KO	1.12425508997711	0.161624607469472	6.95596485943181	9.07225509001283e-11
MMS2: PARP1 KO vs. ALC1 KO	0.102577096375242	0.161624607469472	0.634662617167485	0.526578157374138
MMS1: PARP1 KO vs. WT	1.22291770972687	0.161624607469472	7.56640791816219	3.11409097566675e-12
MMS2: PARP1 KO vs. WT	0.189474179095738	0.161624607469472	1.17231021972646	0.242859671437119
Olaparib1: PARP1 KO vs. ALC1 KO PARP1 KO 	0.00129669279207832	0.161624607469472	0.00802286738622547	0.993608997222849
Olaparib2: PARP1 KO vs. ALC1 KO PARP1 KO 	0.339866646630806	0.161624607469472	2.10281498561413	0.0370872297918983
Olaparib1: PARP1 KO vs. ALC1 KO	-1.80143346179598	0.161624607469472	-11.1457870803259	1.36675717808104e-21
Olaparib2: PARP1 KO vs. ALC1 KO	0.665991125332528	0.161624607469472	4.12060475047602	6.11651338814766e-05
Olaparib1: PARP1 KO vs. WT	-0.967921162716229	0.161624607469472	-5.98869923256614	1.40522232557646e-08
Olaparib2: PARP1 KO vs. WT	-0.134821228384825	0.161624607469472	-0.834162758355287	0.405464782416913
MMS1:Olaparib1: PARP1 KO vs. ALC1 KO PARP1 KO 	0.546346699435619	2.23953625512401	0.243955282342757	0.807585993490901
MMS2:Olaparib1: PARP1 KO vs. ALC1 KO PARP1 KO 	2.78399602845945	2.23953625512401	1.24311273018676	0.215691380495138
MMS1:Olaparib2: PARP1 KO vs. ALC1 KO PARP1 KO 	-0.870089688192533	2.23953625512401	-0.388513330026154	0.698165906284398
MMS2:Olaparib2: PARP1 KO vs. ALC1 KO PARP1 KO 	0.237298031485285	2.23953625512401	0.105958557689054	0.915751361591091
MMS1:Olaparib1: PARP1 KO vs. ALC1 KO	12.9914858570647	2.23953625512401	5.80097144100278	3.55957676826351e-08
MMS2:Olaparib1: PARP1 KO vs. ALC1 KO	2.3407542348245	2.23953625512401	1.04519595495224	0.297549261050229
MMS1:Olaparib2: PARP1 KO vs. ALC1 KO	-2.15200501503179	2.23953625512401	-0.960915461898886	0.338081699456541
MMS2:Olaparib2: PARP1 KO vs. ALC1 KO	2.65495814731253	2.23953625512401	1.18549460462542	0.237624607049057
MMS1:Olaparib1: PARP1 KO vs. WT	-4.67664979393018	2.23953625512401	-2.08822240909479	0.0384024481008083
MMS2:Olaparib1: PARP1 KO vs. WT	3.20571394404894	2.23953625512401	1.43141864156668	0.154310615522896
MMS1:Olaparib2: PARP1 KO vs. WT	-1.10637544460634	2.23953625512401	-0.494019885623629	0.621987020606323
MMS2:Olaparib2: PARP1 KO vs. WT	0.448244337194217	2.23953625512401	0.200150516058243	0.841623548278843
