	Estimate	Std. Error	t value	Pr(>|t|)
MMS1 in WT	-1.98208060147308	0.114285855948277	-17.3431837651907	3.16311412713682e-38
MMS2 in WT	0.125584647693726	0.114285855948277	1.09886430522568	0.273520270425459
Olaparib1 in WT	-2.14961480391584	0.114285855948278	-18.8091062194843	5.89519937981164e-42
Olaparib2 in WT	-0.356940924181153	0.114285855948277	-3.12322921519435	0.00213277042994832
MMS1:Olaparib1 in WT	-2.772073699824	1.58359127271131	-1.75049821730696	0.0819982638959788
MMS2:Olaparib1 in WT	0.588499590436496	1.58359127271131	0.371623411026324	0.710677522362415
MMS1:Olaparib2 in WT	1.64242809884001	1.58359127271131	1.03715404798106	0.301269031643585
MMS2:Olaparib2 in WT	-0.650054588982117	1.58359127271132	-0.410493919854167	0.682006911266797
MMS1: WT vs. ALC1 KO	-0.0986626197497601	0.161624607469472	-0.610443058730372	0.542456647382943
MMS2: WT vs. ALC1 KO	-0.0868970827204974	0.161624607469472	-0.537647602558978	0.591586502660426
MMS1: WT vs. ALC1 KO PARP1 KO 	-1.40010792683659	0.161624607469472	-8.66271509492171	5.48361671598562e-15
MMS2: WT vs. ALC1 KO PARP1 KO 	-0.0594307081625218	0.161624607469472	-0.367708290791965	0.713589164619651
MMS1: WT vs. PARP1 KO	-1.22291770972687	0.161624607469472	-7.56640791816219	3.11409097566673e-12
MMS2: WT vs. PARP1 KO	-0.189474179095739	0.161624607469472	-1.17231021972646	0.242859671437118
Olaparib1: WT vs. ALC1 KO	-0.833512299079745	0.161624607469472	-5.1570878477597	7.51008650267071e-07
Olaparib2: WT vs. ALC1 KO	0.800812353717352	0.161624607469472	4.95476750883131	1.866904578949e-06
Olaparib1: WT vs. ALC1 KO PARP1 KO 	0.969217855508311	0.161624607469472	5.99672209995238	1.34998132813751e-08
Olaparib2: WT vs. ALC1 KO PARP1 KO 	0.47468787501563	0.161624607469472	2.9369777439694	0.00381663718200466
Olaparib1: WT vs. PARP1 KO	0.967921162716233	0.161624607469472	5.98869923256616	1.40522232557639e-08
Olaparib2: WT vs. PARP1 KO	0.134821228384825	0.161624607469472	0.834162758355289	0.405464782416912
MMS1:Olaparib1: WT vs. ALC1 KO	17.6681356509948	2.23953625512401	7.88919385009754	4.98209815982136e-13
MMS2:Olaparib1: WT vs. ALC1 KO	-0.864959709224376	2.23953625512401	-0.386222686614413	0.69985800062155
MMS1:Olaparib2: WT vs. ALC1 KO	-1.04562957042547	2.23953625512401	-0.466895576275263	0.641226012499434
MMS2:Olaparib2: WT vs. ALC1 KO	2.20671381011832	2.23953625512401	0.985344088567178	0.325980854291158
MMS1:Olaparib1: WT vs. ALC1 KO PARP1 KO 	5.22299649336573	2.23953625512401	2.33217769143752	0.02096952844005
MMS2:Olaparib1: WT vs. ALC1 KO PARP1 KO 	-0.421717915589435	2.23953625512401	-0.188305911379891	0.850881584772236
MMS1:Olaparib2: WT vs. ALC1 KO PARP1 KO 	0.236285756413794	2.23953625512401	0.105506555597471	0.916109409777568
MMS2:Olaparib2: WT vs. ALC1 KO PARP1 KO 	-0.21094630570893	2.23953625512401	-0.094191958369189	0.925077544708442
MMS1:Olaparib1: WT vs. PARP1 KO	4.67664979393012	2.23953625512401	2.08822240909476	0.0384024481008107
MMS2:Olaparib1: WT vs. PARP1 KO	-3.20571394404889	2.23953625512401	-1.43141864156666	0.154310615522903
MMS1:Olaparib2: WT vs. PARP1 KO	1.10637544460632	2.23953625512401	0.494019885623621	0.62198702060633
MMS2:Olaparib2: WT vs. PARP1 KO	-0.448244337194209	2.23953625512401	-0.20015051605824	0.841623548278846
