	Estimate	Std. Error	t value	Pr(>|t|)
 WT vs. ALC1KO in Time 2h	18.37777778	1.7633266820798	10.4222195278777	6.2282341210475e-06
 WT vs. PARP1KO in Time 2h	19.3666666666667	1.7633266820798	10.9830281952202	4.19750900736835e-06
 WT vs. ALC1KOPARP1KO in Time 2h	18.9444444466667	1.7633266820798	10.7435817986501	4.95671792568185e-06
 ALC1KO vs. WT in Time 2h	-18.37777778	1.7633266820798	-10.4222195278778	6.22823412104745e-06
 ALC1KO vs. PARP1KO in Time 2h	0.988888886666668	1.7633266820798	0.560808667342512	0.590284968060016
 ALC1KO vs. ALC1KOPARP1KO in Time 2h	0.566666666666665	1.7633266820798	0.321362270772365	0.756171250007262
 PARP1KO vs. ALC1KO in Time 2h	-0.98888888666667	1.7633266820798	-0.560808667342513	0.590284968060015
 PARP1KO vs. WT in Time 2h	-19.3666666666667	1.7633266820798	-10.9830281952203	4.19750900736831e-06
 PARP1KO vs. ALC1KOPARP1KO in Time 2h	-0.422222220000003	1.7633266820798	-0.239446396570147	0.816780149801298
 ALC1KOPARP1KO vs. PARP1KO in Time 2h	0.422222220000008	1.7633266820798	0.23944639657015	0.816780149801296
 ALC1KOPARP1KO vs. ALC1KO in Time 2h	-0.566666666666663	1.7633266820798	-0.321362270772363	0.756171250007263
 ALC1KOPARP1KO vs. WT in Time 2h	-18.9444444466667	1.7633266820798	-10.7435817986501	4.95671792568182e-06
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
 WT vs. ALC1KO in Time 4h	11.6	4.66893463449613	2.48450683252109	0.037844861183242
 WT vs. PARP1KO in Time 4h	12.57777778	4.66893463449613	2.69392886485706	0.0273297999954633
 WT vs. ALC1KOPARP1KO in Time 4h	14.4333333366667	4.66893463449613	3.09135476646575	0.0148590262158682
 ALC1KO vs. WT in Time 4h	-11.6	4.66893463449613	-2.48450683252109	0.0378448611832418
 ALC1KO vs. PARP1KO in Time 4h	0.977777779999997	4.66893463449613	0.209422032335974	0.839353363278407
 ALC1KO vs. ALC1KOPARP1KO in Time 4h	2.83333333666666	4.66893463449613	0.606847933944664	0.560775190290894
 PARP1KO vs. ALC1KO in Time 4h	-0.977777779999997	4.66893463449613	-0.209422032335974	0.839353363278407
 PARP1KO vs. WT in Time 4h	-12.57777778	4.66893463449613	-2.69392886485706	0.0273297999954633
 PARP1KO vs. ALC1KOPARP1KO in Time 4h	1.85555555666667	4.66893463449613	0.397425901608691	0.70144661040122
 ALC1KOPARP1KO vs. PARP1KO in Time 4h	-1.85555555666667	4.66893463449613	-0.39742590160869	0.70144661040122
 ALC1KOPARP1KO vs. ALC1KO in Time 4h	-2.83333333666667	4.66893463449613	-0.606847933944665	0.560775190290894
 ALC1KOPARP1KO vs. WT in Time 4h	-14.4333333366666	4.66893463449613	-3.09135476646575	0.0148590262158682
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
 WT vs. ALC1KO in Time 6h	9.91111111333332	1.68486362374628	5.8824411505164	0.000368983013659883
 WT vs. PARP1KO in Time 6h	10.9111111133333	1.68486362374628	6.47596099740853	0.00019293692883471
 WT vs. ALC1KOPARP1KO in Time 6h	10.67777778	1.68486362374628	6.3374730331337	0.00022359363409955
 ALC1KO vs. WT in Time 6h	-9.91111111333332	1.68486362374628	-5.8824411505164	0.000368983013659883
 ALC1KO vs. PARP1KO in Time 6h	1	1.68486362374628	0.593519846892123	0.569229811765944
 ALC1KO vs. ALC1KOPARP1KO in Time 6h	0.766666666666668	1.68486362374628	0.455031882617294	0.661180785725929
 PARP1KO vs. ALC1KO in Time 6h	-1	1.68486362374628	-0.593519846892124	0.569229811765943
 PARP1KO vs. WT in Time 6h	-10.9111111133333	1.68486362374628	-6.47596099740853	0.00019293692883471
 PARP1KO vs. ALC1KOPARP1KO in Time 6h	-0.233333333333334	1.68486362374628	-0.138487964274829	0.893277321017252
 ALC1KOPARP1KO vs. PARP1KO in Time 6h	0.233333333333335	1.68486362374628	0.13848796427483	0.893277321017251
 ALC1KOPARP1KO vs. ALC1KO in Time 6h	-0.766666666666667	1.68486362374628	-0.455031882617294	0.661180785725929
 ALC1KOPARP1KO vs. WT in Time 6h	-10.67777778	1.68486362374628	-6.3374730331337	0.000223593634099551
