	Estimate	Std. Error	t value	Pr(>|t|)
time1 in WT	31.1818192472374	6.22051315791806	5.01274066232723	2.24735006866601e-05
time2 in WT	-58.9089724603489	6.22051315791806	-9.47011459743702	1.60072147910468e-10
time3 in WT	30.5621419206229	6.22051315791806	4.91312230112727	2.97711867339834e-05
time1: WT vs. PARP1KO	19.7608217024593	8.79713407284802	2.2462794745223	0.0322028958947381
time2: WT vs. PARP1KO	-36.1806168694088	8.79713407284802	-4.1127731565532	0.000279834149154359
time3: WT vs. PARP1KO	24.1157762990282	8.79713407284802	2.74132190089731	0.0102125674466309
time1: WT vs. ALC1KO	17.9103963224955	8.79713407284802	2.03593535965028	0.0506706123351974
time2: WT vs. ALC1KO	-34.8527112502728	8.79713407284802	-3.96182563112733	0.00042403871778422
time3: WT vs. ALC1KO	23.4702790849883	8.79713407284802	2.6679460481827	0.0121872404905377
time1: WT vs. ALC1KOPARP1KO	20.7247642235798	8.79713407284802	2.35585408292752	0.02521047858604
time2: WT vs. ALC1KOPARP1KO	-38.8749181315932	8.79713407284802	-4.41904349867521	0.000119403803835729
time3: WT vs. ALC1KOPARP1KO	18.5558935424741	8.79713407284802	2.10931121303995	0.0433709638097958
