	Estimate	Std. Error	t value	Pr(>|t|)
 WT vs. ALC1KO in Time 2h	19.9333333366666	4.61941688316092	4.31511895133979	0.00256288937859708
 WT vs. PARP1KO in Time 2h	13.38888889	4.61941688316092	2.89839372125219	0.0199407600005576
 WT vs. ALC1KOPARP1KO in Time 2h	15.11111111	4.61941688316092	3.27121614961496	0.0113355916961444
 ALC1KO vs. WT in Time 2h	-19.9333333366666	4.61941688316091	-4.31511895133979	0.00256288937859707
 ALC1KO vs. PARP1KO in Time 2h	-6.54444444666667	4.61941688316091	-1.41672523008759	0.194305008686908
 ALC1KO vs. ALC1KOPARP1KO in Time 2h	-4.82222222666667	4.61941688316091	-1.04390280172483	0.32704543157344
 PARP1KO vs. ALC1KO in Time 2h	6.54444444666666	4.61941688316092	1.41672523008759	0.194305008686909
 PARP1KO vs. WT in Time 2h	-13.38888889	4.61941688316092	-2.89839372125219	0.0199407600005575
 PARP1KO vs. ALC1KOPARP1KO in Time 2h	1.72222222	4.61941688316092	0.372822428362763	0.718964761240989
 ALC1KOPARP1KO vs. PARP1KO in Time 2h	-1.72222222	4.61941688316091	-0.372822428362763	0.71896476124099
 ALC1KOPARP1KO vs. ALC1KO in Time 2h	4.82222222666667	4.61941688316092	1.04390280172483	0.32704543157344
 ALC1KOPARP1KO vs. WT in Time 2h	-15.11111111	4.61941688316091	-3.27121614961496	0.0113355916961444
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
 WT vs. ALC1KO in Time 4h	25.6555555566666	2.94700098560667	8.70564878735025	2.36474253843872e-05
 WT vs. PARP1KO in Time 4h	14.1333333366667	2.94700098560667	4.79583597212716	0.00136277121174079
 WT vs. ALC1KOPARP1KO in Time 4h	12.4666666666667	2.94700098560667	4.23028927630314	0.00287522676347967
 ALC1KO vs. WT in Time 4h	-25.6555555566667	2.94700098560666	-8.70564878735025	2.3647425384387e-05
 ALC1KO vs. PARP1KO in Time 4h	-11.52222222	2.94700098560666	-3.90981281522309	0.0044822300200186
 ALC1KO vs. ALC1KOPARP1KO in Time 4h	-13.18888889	2.94700098560666	-4.47535951104711	0.00206847786110044
 PARP1KO vs. ALC1KO in Time 4h	11.52222222	2.94700098560667	3.90981281522308	0.00448223002001862
 PARP1KO vs. WT in Time 4h	-14.1333333366667	2.94700098560667	-4.79583597212717	0.00136277121174079
 PARP1KO vs. ALC1KOPARP1KO in Time 4h	-1.66666667	2.94700098560667	-0.565546695824028	0.587208761244944
 ALC1KOPARP1KO vs. PARP1KO in Time 4h	1.66666667	2.94700098560666	0.565546695824028	0.587208761244943
 ALC1KOPARP1KO vs. ALC1KO in Time 4h	13.18888889	2.94700098560667	4.47535951104711	0.00206847786110044
 ALC1KOPARP1KO vs. WT in Time 4h	-12.4666666666667	2.94700098560666	-4.23028927630314	0.00287522676347967
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
 WT vs. ALC1KO in Time 6h	34.61111111	3.55089103646649	9.747162262811	1.02732215316808e-05
 WT vs. PARP1KO in Time 6h	19.5222222233333	3.55089103646649	5.49783759142325	0.000575210034763358
 WT vs. ALC1KOPARP1KO in Time 6h	19.9666666666667	3.55089103646649	5.62300179352606	0.000496757913056301
 ALC1KO vs. WT in Time 6h	-34.61111111	3.55089103646648	-9.74716226281101	1.02732215316807e-05
 ALC1KO vs. PARP1KO in Time 6h	-15.0888888866667	3.55089103646648	-4.24932467138775	0.00280172251246753
 ALC1KO vs. ALC1KOPARP1KO in Time 6h	-14.6444444433333	3.55089103646648	-4.12416046928495	0.00332508800054009
 PARP1KO vs. ALC1KO in Time 6h	15.0888888866667	3.55089103646649	4.24932467138775	0.00280172251246755
 PARP1KO vs. WT in Time 6h	-19.5222222233333	3.55089103646649	-5.49783759142326	0.000575210034763353
 PARP1KO vs. ALC1KOPARP1KO in Time 6h	0.44444444333333	3.55089103646649	0.125164202102805	0.903481679641302
 ALC1KOPARP1KO vs. PARP1KO in Time 6h	-0.444444443333329	3.55089103646648	-0.125164202102805	0.903481679641302
 ALC1KOPARP1KO vs. ALC1KO in Time 6h	14.6444444433333	3.55089103646649	4.12416046928495	0.0033250880005401
 ALC1KOPARP1KO vs. WT in Time 6h	-19.9666666666667	3.55089103646648	-5.62300179352606	0.000496757913056298
