	Estimate	Std. Error	t value	Pr(>|t|)
time1 in ALC1KO	113.400952372306	6.85499412286212	16.5428226982867	1.26406885980587e-16
time2 in ALC1KO	-83.253908825227	6.85499412286211	-12.1450007590184	4.13093549618037e-13
time3 in ALC1KO	32.5502733745162	6.85499412286212	4.7484028127694	4.73675540587184e-05
time1: ALC1KO vs. WT	-83.7252933115592	9.69442565853947	-8.63643667614375	1.23722482535206e-09
time2: ALC1KO vs. WT	18.1672884805077	9.69442565853947	1.87399327411467	0.0707005449048917
time3: ALC1KO vs. WT	-13.1337168629477	9.69442565853947	-1.35476998076505	0.185606172780324
time1: ALC1KO vs. PARP1KO	-37.0085075223363	9.69442565853947	-3.81750387551189	0.000628917699165065
time2: ALC1KO vs. PARP1KO	3.73353174499358	9.69442565853947	0.3851214993541	0.702864462618571
time3: ALC1KO vs. PARP1KO	0.516397770715547	9.69442565853947	0.0532674950434707	0.957871916164118
time1: ALC1KO vs. ALC1KOPARP1KO	-38.0068765658764	9.69442565853947	-3.9204877013418	0.000474883992094664
time2: ALC1KO vs. ALC1KOPARP1KO	3.96447186017491	9.69442565853947	0.408943448514947	0.68548598154484
time3: ALC1KO vs. ALC1KOPARP1KO	8.93368157828039	9.69442565853947	0.921527679198925	0.364126881422502
