	Estimate	Std. Error	t value	Pr(>|t|)
time1 in ALC1KO	49.092215569733	6.22051315791806	7.8919880600596	8.29419214425112e-09
time2 in ALC1KO	-93.7616837106218	6.22051315791806	-15.0729821367347	1.5410047992304e-15
time3 in ALC1KO	54.0324210056112	6.22051315791806	8.68616778614696	1.0923378518108e-09
time1: ALC1KO vs. WT	-17.9103963224956	8.79713407284802	-2.03593535965028	0.0506706123351967
time2: ALC1KO vs. WT	34.8527112502729	8.79713407284802	3.96182563112733	0.000424038717784214
time3: ALC1KO vs. WT	-23.4702790849883	8.79713407284802	-2.66794604818271	0.0121872404905376
time1: ALC1KO vs. PARP1KO	1.85042537996375	8.79713407284801	0.210344114872026	0.834821235786301
time2: ALC1KO vs. PARP1KO	-1.32790561913597	8.79713407284801	-0.150947525425865	0.881027538258062
time3: ALC1KO vs. PARP1KO	0.645497214039896	8.79713407284801	0.0733758527146012	0.941994090044122
time1: ALC1KO vs. ALC1KOPARP1KO	2.81436790108427	8.79713407284802	0.319918723277243	0.75124742159168
time2: ALC1KO vs. ALC1KOPARP1KO	-4.02220688132035	8.79713407284801	-0.457217867547879	0.650808322761171
time3: ALC1KO vs. ALC1KOPARP1KO	-4.9143855425142	8.79713407284802	-0.558634835142759	0.580557133549795
