	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in ALC1KO siCtrl	-3.43535092953907	0.256150503795378	-13.4114549010739	2.0552828045957e-24
Olaparib2 in ALC1KO siCtrl	0.884586117475349	0.256150503795379	3.45338425795947	0.000802008290473126
Olaparib1: siCtrl vs. si53BP1 in ALC1KO	0.0175134249230988	0.362251516476126	0.0483460361835449	0.961533188240856
Olaparib2: siCtrl vs. si53BP1 in ALC1KO	-0.383907699226412	0.362251516476126	-1.05978217278689	0.291698820181533
Olaparib1: siCtrl vs. si53BP1+siBRCA1 in ALC1KO	-0.206310608512915	0.362251516476125	-0.569523105161416	0.570229296294553
Olaparib2: siCtrl vs. si53BP1+siBRCA1 in ALC1KO	0.225226644983388	0.362251516476125	0.621741068676057	0.535472713005203
Olaparib1: siCtrl vs. siBRCA1 in ALC1KO	-0.435515604776924	0.362251516476125	-1.20224646404103	0.231998283721134
Olaparib2: siCtrl vs. siBRCA1 in ALC1KO	-0.384767366817442	0.362251516476125	-1.06215529629895	0.290625425791571
Olaparib1: ALC1KO vs. WT in siCtrl	1.77624181375735	0.362251516476125	4.90333851749223	3.48832558585239e-06
Olaparib2: ALC1KO vs. WT in siCtrl	-1.62543258488971	0.362251516476125	-4.48702768921835	1.86981356878849e-05
Olaparib1: siCtrl vs. si53BP1: ALC1KO vs. WT	-0.360025816168258	0.512301007590757	-0.702762264437822	0.483774017703753
Olaparib2: siCtrl vs. si53BP1: ALC1KO vs. WT	0.52787507502979	0.512301007590757	1.03040022800711	0.305212540304069
Olaparib1: siCtrl vs. si53BP1+siBRCA1: ALC1KO vs. WT	0.186264004710161	0.512301007590757	0.363583131694628	0.716907363608192
Olaparib2: siCtrl vs. si53BP1+siBRCA1: ALC1KO vs. WT	0.509928222440387	0.512301007590757	0.995368376959615	0.321867414921572
Olaparib1: siCtrl vs. siBRCA1: ALC1KO vs. WT	-0.647226112660194	0.512301007590757	-1.26337075873413	0.209280806097579
Olaparib2: siCtrl vs. siBRCA1: ALC1KO vs. WT	1.21567525974251	0.512301007590757	2.37297065929965	0.0194828262105084
