	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in siCtrl d11/heterozyg	-0.682445436649929	0.114918309399967	-5.93852659522442	1.29691246978e-06
Olaparib2 in siCtrl d11/heterozyg	-0.00103685021313658	0.114918309399966	-0.00902249796877779	0.992857201414098
Olaparib3 in siCtrl d11/heterozyg	0.118189847392325	0.114918309399967	1.028468379055	0.311441117325358
Olaparib1: siCtrl d11/heterozyg vs. siALC1 d11/heterozyg	-0.943898676128971	0.16251903171842	-5.80792702336774	1.89407529578846e-06
Olaparib2: siCtrl d11/heterozyg vs. siALC1 d11/heterozyg	0.263296478681502	0.16251903171842	1.62009627978641	0.115026145914437
Olaparib3: siCtrl d11/heterozyg vs. siALC1 d11/heterozyg	-0.261047105444068	0.16251903171842	-1.60625560393663	0.118042244147601
Olaparib1: siCtrl d11/heterozyg vs. siCtrl d11/d11	-1.76821892573124	0.16251903171842	-10.8800729799747	2.76746962981486e-12
Olaparib2: siCtrl d11/heterozyg vs. siCtrl d11/d11	0.100986157719986	0.16251903171842	0.621380503269024	0.538751025393725
Olaparib3: siCtrl d11/heterozyg vs. siCtrl d11/d11	-0.328440042389203	0.16251903171842	-2.02093280347779	0.0517199368935595
Olaparib1: siCtrl d11/heterozyg vs. siALC1 d11/d11	-1.84377534290074	0.16251903171842	-11.3449810979385	9.48067330038236e-13
Olaparib2: siCtrl d11/heterozyg vs. siALC1 d11/d11	0.398171388138291	0.16251903171842	2.44999852588441	0.0199386095811285
Olaparib3: siCtrl d11/heterozyg vs. siALC1 d11/d11	-0.197626065321709	0.16251903171842	-1.21601798406057	0.232872565697661
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in siALC1 d11/heterozyg	-1.6263441127789	0.114918309399967	-14.1521757609443	2.52481090266008e-15
Olaparib2 in siALC1 d11/heterozyg	0.262259628468366	0.114918309399967	2.28213963325536	0.0292727723642433
Olaparib3 in siALC1 d11/heterozyg	-0.142857258051743	0.114918309399967	-1.24312008066997	0.222855021284886
Olaparib1: siALC1 d11/heterozyg vs. siCtrl d11/heterozyg	0.943898676128974	0.16251903171842	5.80792702336775	1.89407529578838e-06
Olaparib2: siALC1 d11/heterozyg vs. siCtrl d11/heterozyg	-0.263296478681503	0.16251903171842	-1.62009627978642	0.115026145914436
Olaparib3: siALC1 d11/heterozyg vs. siCtrl d11/heterozyg	0.261047105444068	0.16251903171842	1.60625560393663	0.118042244147601
Olaparib1: siALC1 d11/heterozyg vs. siCtrl d11/d11	-0.824320249602264	0.16251903171842	-5.07214595660697	1.61114616091809e-05
Olaparib2: siALC1 d11/heterozyg vs. siCtrl d11/d11	-0.162310320961516	0.16251903171842	-0.998715776517385	0.325425010059408
Olaparib3: siALC1 d11/heterozyg vs. siCtrl d11/d11	-0.067392936945135	0.16251903171842	-0.414677199541157	0.681145137911721
Olaparib1: siALC1 d11/heterozyg vs. siALC1 d11/d11	-0.899876666771766	0.16251903171842	-5.53705407457072	4.16263014364763e-06
Olaparib2: siALC1 d11/heterozyg vs. siALC1 d11/d11	0.134874909456789	0.16251903171842	0.829902246098001	0.412742696710221
Olaparib3: siALC1 d11/heterozyg vs. siALC1 d11/d11	0.0634210401223596	0.16251903171842	0.390237619876069	0.698946485790374
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in siCtrl d11/d11	-2.45066436238117	0.114918309399966	-21.3252733631137	1.75833584546897e-20
Olaparib2 in siCtrl d11/d11	0.0999493075068498	0.114918309399966	0.869742237148495	0.390918700389581
Olaparib3 in siCtrl d11/d11	-0.210250194996878	0.114918309399966	-1.82956220026798	0.0766463810836472
Olaparib1: siCtrl d11/d11 vs. siCtrl d11/heterozyg	1.76821892573124	0.16251903171842	10.8800729799747	2.7674696298147e-12
Olaparib2: siCtrl d11/d11 vs. siCtrl d11/heterozyg	-0.100986157719988	0.16251903171842	-0.621380503269035	0.538751025393718
Olaparib3: siCtrl d11/d11 vs. siCtrl d11/heterozyg	0.328440042389203	0.16251903171842	2.0209328034778	0.0517199368935591
Olaparib1: siCtrl d11/d11 vs. siALC1 d11/heterozyg	0.824320249602265	0.16251903171842	5.07214595660698	1.61114616091804e-05
Olaparib2: siCtrl d11/d11 vs. siALC1 d11/heterozyg	0.162310320961516	0.16251903171842	0.998715776517387	0.325425010059407
Olaparib3: siCtrl d11/d11 vs. siALC1 d11/heterozyg	0.0673929369451347	0.16251903171842	0.414677199541156	0.681145137911722
Olaparib1: siCtrl d11/d11 vs. siALC1 d11/d11	-0.0755564171695018	0.16251903171842	-0.464908117963751	0.645145376550508
Olaparib2: siCtrl d11/d11 vs. siALC1 d11/d11	0.297185230418305	0.16251903171842	1.82861802261539	0.0767912744900421
Olaparib3: siCtrl d11/d11 vs. siALC1 d11/d11	0.130813977067495	0.16251903171842	0.804914819417227	0.426809137435589
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in siALC1 d11/d11	-2.52622077955067	0.114918309399966	-21.9827527287954	7.06775299470145e-21
Olaparib2 in siALC1 d11/d11	0.397134537925155	0.114918309399966	3.45579864513105	0.00156916951203631
Olaparib3 in siALC1 d11/d11	-0.0794362179293837	0.114918309399966	-0.691240746093041	0.494398805457914
Olaparib1: siALC1 d11/d11 vs. siCtrl d11/heterozyg	1.84377534290074	0.16251903171842	11.3449810979385	9.48067330038185e-13
Olaparib2: siALC1 d11/d11 vs. siCtrl d11/heterozyg	-0.398171388138293	0.16251903171842	-2.44999852588443	0.0199386095811278
Olaparib3: siALC1 d11/d11 vs. siCtrl d11/heterozyg	0.197626065321709	0.16251903171842	1.21601798406057	0.23287256569766
Olaparib1: siALC1 d11/d11 vs. siALC1 d11/heterozyg	0.899876666771767	0.16251903171842	5.53705407457073	4.16263014364751e-06
Olaparib2: siALC1 d11/d11 vs. siALC1 d11/heterozyg	-0.13487490945679	0.16251903171842	-0.829902246098005	0.412742696710219
Olaparib3: siALC1 d11/d11 vs. siALC1 d11/heterozyg	-0.06342104012236	0.16251903171842	-0.390237619876072	0.698946485790371
Olaparib1: siALC1 d11/d11 vs. siCtrl d11/d11	0.0755564171695021	0.16251903171842	0.464908117963753	0.645145376550507
Olaparib2: siALC1 d11/d11 vs. siCtrl d11/d11	-0.297185230418305	0.16251903171842	-1.82861802261539	0.0767912744900421
Olaparib3: siALC1 d11/d11 vs. siCtrl d11/d11	-0.130813977067495	0.16251903171842	-0.804914819417229	0.426809137435588
