	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in siCtrl d11/d11	-2.45066436238117	0.114918309399966	-21.3252733631137	1.75833584546899e-20
Olaparib2 in siCtrl d11/d11	0.0999493075068489	0.114918309399966	0.869742237148488	0.390918700389584
Olaparib3 in siCtrl d11/d11	-0.210250194996878	0.114918309399966	-1.82956220026798	0.0766463810836468
Olaparib1: d11/d11 vs. d11/heterozyg in siCtrl	1.76821892573124	0.16251903171842	10.8800729799747	2.76746962981474e-12
Olaparib2: d11/d11 vs. d11/heterozyg in siCtrl	-0.100986157719987	0.16251903171842	-0.62138050326903	0.538751025393721
Olaparib3: d11/d11 vs. d11/heterozyg in siCtrl	0.328440042389203	0.16251903171842	2.02093280347779	0.0517199368935594
Olaparib1: siCtrl vs. siALC1 in d11/d11	-0.0755564171695029	0.16251903171842	-0.464908117963758	0.645145376550503
Olaparib2: siCtrl vs. siALC1 in d11/d11	0.297185230418306	0.16251903171842	1.82861802261539	0.0767912744900415
Olaparib3: siCtrl vs. siALC1 in d11/d11	0.130813977067494	0.16251903171842	0.804914819417223	0.426809137435592
Olaparib1: d11/d11 vs. d11/heterozyg: siCtrl vs. siALC1	-0.86834225895947	0.229836618799933	-3.77808490001909	0.000650479865637533
Olaparib2: d11/d11 vs. d11/heterozyg: siCtrl vs. siALC1	-0.0338887517368026	0.229836618799933	-0.147447138379206	0.883704215901286
Olaparib3: d11/d11 vs. d11/heterozyg: siCtrl vs. siALC1	-0.391861082511562	0.229836618799933	-1.70495495694995	0.0978944632367982
