	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in siALC1 d11/heterozyg	-1.6263441127789	0.114918309399967	-14.1521757609443	2.52481090266012e-15
Olaparib2 in siALC1 d11/heterozyg	0.262259628468365	0.114918309399967	2.28213963325535	0.0292727723642436
Olaparib3 in siALC1 d11/heterozyg	-0.142857258051743	0.114918309399966	-1.24312008066997	0.222855021284887
Olaparib1: d11/heterozyg vs. d11/d11 in siALC1	-0.899876666771767	0.16251903171842	-5.53705407457072	4.16263014364758e-06
Olaparib2: d11/heterozyg vs. d11/d11 in siALC1	0.13487490945679	0.16251903171842	0.829902246098006	0.412742696710218
Olaparib3: d11/heterozyg vs. d11/d11 in siALC1	0.0634210401223594	0.16251903171842	0.390237619876067	0.698946485790375
Olaparib1: siALC1 vs. siCtrl in d11/heterozyg	0.943898676128973	0.16251903171842	5.80792702336774	1.89407529578842e-06
Olaparib2: siALC1 vs. siCtrl in d11/heterozyg	-0.263296478681503	0.16251903171842	-1.62009627978642	0.115026145914436
Olaparib3: siALC1 vs. siCtrl in d11/heterozyg	0.261047105444068	0.16251903171842	1.60625560393663	0.118042244147601
Olaparib1: d11/heterozyg vs. d11/d11: siALC1 vs. siCtrl	-0.868342258959471	0.229836618799933	-3.77808490001909	0.000650479865637536
Olaparib2: d11/heterozyg vs. d11/d11: siALC1 vs. siCtrl	-0.0338887517368027	0.229836618799933	-0.147447138379207	0.883704215901286
Olaparib3: d11/heterozyg vs. d11/d11: siALC1 vs. siCtrl	-0.391861082511562	0.229836618799933	-1.70495495694995	0.097894463236799
