	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in siCtrl d11/heterozyg	-0.682445436649927	0.114918309399967	-5.9385265952244	1.29691246978006e-06
Olaparib2 in siCtrl d11/heterozyg	-0.00103685021313716	0.114918309399966	-0.00902249796878286	0.992857201414094
Olaparib3 in siCtrl d11/heterozyg	0.118189847392324	0.114918309399966	1.02846837905499	0.311441117325362
Olaparib1: d11/heterozyg vs. d11/d11 in siCtrl	-1.76821892573124	0.16251903171842	-10.8800729799747	2.76746962981482e-12
Olaparib2: d11/heterozyg vs. d11/d11 in siCtrl	0.100986157719987	0.16251903171842	0.621380503269027	0.538751025393723
Olaparib3: d11/heterozyg vs. d11/d11 in siCtrl	-0.328440042389203	0.16251903171842	-2.02093280347779	0.0517199368935594
Olaparib1: siCtrl vs. siALC1 in d11/heterozyg	-0.943898676128973	0.16251903171842	-5.80792702336775	1.8940752957884e-06
Olaparib2: siCtrl vs. siALC1 in d11/heterozyg	0.263296478681502	0.16251903171842	1.62009627978641	0.115026145914437
Olaparib3: siCtrl vs. siALC1 in d11/heterozyg	-0.261047105444068	0.16251903171842	-1.60625560393664	0.1180422441476
Olaparib1: d11/heterozyg vs. d11/d11: siCtrl vs. siALC1	0.86834225895947	0.229836618799933	3.77808490001909	0.00065047986563754
Olaparib2: d11/heterozyg vs. d11/d11: siCtrl vs. siALC1	0.0338887517368029	0.229836618799933	0.147447138379207	0.883704215901285
Olaparib3: d11/heterozyg vs. d11/d11: siCtrl vs. siALC1	0.391861082511563	0.229836618799933	1.70495495694995	0.0978944632367982
