	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in WT siBRCA1	-2.38939574605091	0.0738525545555613	-32.353596438608	2.22643817702731e-41
Olaparib2 in WT siBRCA1	-0.4002580452892	0.0738525545555613	-5.41969127131649	9.67428333899302e-07
Olaparib3 in WT siBRCA1	0.364725919177968	0.0738525545555613	4.938568765466	5.94074515631813e-06
Olaparib1: siBRCA1 vs. siCtrl in WT	0.71636932927209	0.104443284268374	6.85893146974709	3.28776419764364e-09
Olaparib2: siBRCA1 vs. siCtrl in WT	-0.0270833519374029	0.104443284268374	-0.25931156921311	0.796227144303058
Olaparib3: siBRCA1 vs. siCtrl in WT	-0.458932815367302	0.104443284268374	-4.39408640375618	4.27341835608073e-05
Olaparib1: WT vs. YFP-ALC1 in siBRCA1	0.954347123378774	0.104443284268374	9.13746757452129	3.25723289421993e-13
Olaparib2: WT vs. YFP-ALC1 in siBRCA1	0.256086434838008	0.104443284268374	2.45191863346596	0.0169486519337058
Olaparib3: WT vs. YFP-ALC1 in siBRCA1	-0.132049333791006	0.104443284268374	-1.26431617615257	0.210701703928965
Olaparib1: siBRCA1 vs. siCtrl: WT vs. YFP-ALC1	-0.616390875813039	0.147705109111123	-4.17311817798605	9.24098588566451e-05
Olaparib2: siBRCA1 vs. siCtrl: WT vs. YFP-ALC1	-0.234634235974426	0.147705109111123	-1.58853161807628	0.117094634933121
Olaparib3: siBRCA1 vs. siCtrl: WT vs. YFP-ALC1	0.340449980058578	0.147705109111123	2.30493029054566	0.0244244554251192
