	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in WT siCtrl	-1.67302641677882	0.0738525545555613	-22.653602530704	2.8675978456102e-32
Olaparib2 in WT siCtrl	-0.427341397226602	0.0738525545555613	-5.78641320937791	2.34155318762481e-07
Olaparib3 in WT siCtrl	-0.0942068961893334	0.0738525545555612	-1.27560782096521	0.206704814006636
Olaparib1: WT siCtrl vs. WT siBRCA1	-0.716369329272089	0.104443284268374	-6.85893146974709	3.28776419764364e-09
Olaparib2: WT siCtrl vs. WT siBRCA1	0.0270833519374022	0.104443284268374	0.259311569213103	0.796227144303063
Olaparib3: WT siCtrl vs. WT siBRCA1	0.458932815367303	0.104443284268374	4.39408640375618	4.27341835608061e-05
Olaparib1: WT siCtrl vs. YFP-ALC1 siCtrl	0.337956247565736	0.104443284268374	3.23578724982772	0.00192195401659994
Olaparib2: WT siCtrl vs. YFP-ALC1 siCtrl	0.0214521988635816	0.104443284268374	0.205395674923998	0.837914905229145
Olaparib3: WT siCtrl vs. YFP-ALC1 siCtrl	0.208400646267573	0.104443284268374	1.99534750106167	0.0502657020232333
Olaparib1: WT siCtrl vs. YFP-ALC1 siBRCA1	0.237977794106685	0.104443284268374	2.27853610477421	0.0260410108569245
Olaparib2: WT siCtrl vs. YFP-ALC1 siBRCA1	0.28316978677541	0.104443284268374	2.71123020267906	0.00859672135774766
Olaparib3: WT siCtrl vs. YFP-ALC1 siBRCA1	0.326883481576297	0.104443284268374	3.12977022760362	0.00263497283648194
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in WT siBRCA1	-2.38939574605091	0.0738525545555614	-32.353596438608	2.22643817702738e-41
Olaparib2 in WT siBRCA1	-0.400258045289199	0.0738525545555612	-5.41969127131647	9.67428333899372e-07
Olaparib3 in WT siBRCA1	0.364725919177968	0.0738525545555612	4.938568765466	5.94074515631804e-06
Olaparib1: WT siBRCA1 vs. WT siCtrl	0.716369329272092	0.104443284268374	6.85893146974711	3.28776419764348e-09
Olaparib2: WT siBRCA1 vs. WT siCtrl	-0.0270833519374038	0.104443284268374	-0.259311569213119	0.796227144303051
Olaparib3: WT siBRCA1 vs. WT siCtrl	-0.458932815367302	0.104443284268374	-4.39408640375618	4.27341835608073e-05
Olaparib1: WT siBRCA1 vs. YFP-ALC1 siCtrl	1.05432557683783	0.104443284268374	10.0947187195748	7.26674272784559e-15
Olaparib2: WT siBRCA1 vs. YFP-ALC1 siCtrl	-0.00563115307382137	0.104443284268374	-0.0539158942891126	0.957170122922242
Olaparib3: WT siBRCA1 vs. YFP-ALC1 siCtrl	-0.250532169099729	0.104443284268374	-2.39873890269451	0.0193760572681773
Olaparib1: WT siBRCA1 vs. YFP-ALC1 siBRCA1	0.954347123378776	0.104443284268374	9.13746757452131	3.25723289421966e-13
Olaparib2: WT siBRCA1 vs. YFP-ALC1 siBRCA1	0.256086434838007	0.104443284268374	2.45191863346595	0.0169486519337061
Olaparib3: WT siBRCA1 vs. YFP-ALC1 siBRCA1	-0.132049333791005	0.104443284268374	-1.26431617615256	0.210701703928966
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in YFP-ALC1 siCtrl	-1.33507016921308	0.0738525545555614	-18.0775083170437	7.76346316342059e-27
Olaparib2 in YFP-ALC1 siCtrl	-0.405889198363021	0.0738525545555613	-5.49593986024762	7.21927350491887e-07
Olaparib3 in YFP-ALC1 siCtrl	0.11419375007824	0.0738525545555613	1.54623967668348	0.126977607090077
Olaparib1: YFP-ALC1 siCtrl vs. WT siCtrl	-0.337956247565736	0.104443284268374	-3.23578724982772	0.00192195401659992
Olaparib2: YFP-ALC1 siCtrl vs. WT siCtrl	-0.021452198863581	0.104443284268374	-0.205395674923993	0.83791490522915
Olaparib3: YFP-ALC1 siCtrl vs. WT siCtrl	-0.208400646267573	0.104443284268374	-1.99534750106167	0.0502657020232333
Olaparib1: YFP-ALC1 siCtrl vs. WT siBRCA1	-1.05432557683782	0.104443284268374	-10.0947187195748	7.26674272784577e-15
Olaparib2: YFP-ALC1 siCtrl vs. WT siBRCA1	0.00563115307382026	0.104443284268374	0.053915894289102	0.957170122922251
Olaparib3: YFP-ALC1 siCtrl vs. WT siBRCA1	0.25053216909973	0.104443284268374	2.39873890269451	0.0193760572681773
Olaparib1: YFP-ALC1 siCtrl vs. YFP-ALC1 siBRCA1	-0.0999784534590503	0.104443284268374	-0.957251145053513	0.342042677310214
Olaparib2: YFP-ALC1 siCtrl vs. YFP-ALC1 siBRCA1	0.261717587911828	0.104443284268374	2.50583452775507	0.0147699995936779
Olaparib3: YFP-ALC1 siCtrl vs. YFP-ALC1 siBRCA1	0.118482835308724	0.104443284268374	1.13442272654194	0.260848428173972
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in YFP-ALC1 siBRCA1	-1.43504862267213	0.0738525545555614	-19.4312658689755	1.54060130170662e-28
Olaparib2 in YFP-ALC1 siBRCA1	-0.144171610451193	0.0738525545555613	-1.95215468603363	0.0552975074530851
Olaparib3 in YFP-ALC1 siBRCA1	0.232676585386964	0.0738525545555613	3.15055568202336	0.00247812247691705
Olaparib1: YFP-ALC1 siBRCA1 vs. WT siCtrl	-0.237977794106686	0.104443284268374	-2.27853610477421	0.0260410108569244
Olaparib2: YFP-ALC1 siBRCA1 vs. WT siCtrl	-0.283169786775409	0.104443284268374	-2.71123020267906	0.00859672135774774
Olaparib3: YFP-ALC1 siBRCA1 vs. WT siCtrl	-0.326883481576297	0.104443284268374	-3.12977022760362	0.00263497283648194
Olaparib1: YFP-ALC1 siBRCA1 vs. WT siBRCA1	-0.954347123378775	0.104443284268374	-9.1374675745213	3.25723289421976e-13
Olaparib2: YFP-ALC1 siBRCA1 vs. WT siBRCA1	-0.256086434838007	0.104443284268374	-2.45191863346596	0.0169486519337059
Olaparib3: YFP-ALC1 siBRCA1 vs. WT siBRCA1	0.132049333791006	0.104443284268374	1.26431617615257	0.210701703928965
Olaparib1: YFP-ALC1 siBRCA1 vs. YFP-ALC1 siCtrl	0.0999784534590502	0.104443284268374	0.957251145053513	0.342042677310214
Olaparib2: YFP-ALC1 siBRCA1 vs. YFP-ALC1 siCtrl	-0.261717587911828	0.104443284268374	-2.50583452775506	0.014769999593678
Olaparib3: YFP-ALC1 siBRCA1 vs. YFP-ALC1 siCtrl	-0.118482835308724	0.104443284268374	-1.13442272654194	0.260848428173972
