	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in WT siCtrl	-1.67302641677882	0.0738525545555613	-22.653602530704	2.86759784561028e-32
Olaparib2 in WT siCtrl	-0.427341397226603	0.0738525545555613	-5.78641320937791	2.34155318762481e-07
Olaparib3 in WT siCtrl	-0.0942068961893339	0.0738525545555612	-1.27560782096521	0.206704814006634
Olaparib1: siCtrl vs. siBRCA1 in WT	-0.71636932927209	0.104443284268374	-6.8589314697471	3.28776419764357e-09
Olaparib2: siCtrl vs. siBRCA1 in WT	0.0270833519374022	0.104443284268374	0.259311569213104	0.796227144303063
Olaparib3: siCtrl vs. siBRCA1 in WT	0.458932815367303	0.104443284268374	4.39408640375619	4.2734183560806e-05
Olaparib1: WT vs. YFP-ALC1 in siCtrl	0.337956247565736	0.104443284268374	3.23578724982772	0.00192195401659995
Olaparib2: WT vs. YFP-ALC1 in siCtrl	0.0214521988635817	0.104443284268374	0.205395674923999	0.837914905229145
Olaparib3: WT vs. YFP-ALC1 in siCtrl	0.208400646267573	0.104443284268374	1.99534750106167	0.0502657020232333
Olaparib1: siCtrl vs. siBRCA1: WT vs. YFP-ALC1	0.616390875813039	0.147705109111122	4.17311817798606	9.24098588566443e-05
Olaparib2: siCtrl vs. siBRCA1: WT vs. YFP-ALC1	0.234634235974426	0.147705109111123	1.58853161807629	0.11709463493312
Olaparib3: siCtrl vs. siBRCA1: WT vs. YFP-ALC1	-0.340449980058579	0.147705109111123	-2.30493029054567	0.024424455425119
