	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in YFP-ALC1 siBRCA1	-1.43504862267214	0.0738525545555613	-19.4312658689756	1.54060130170648e-28
Olaparib2 in YFP-ALC1 siBRCA1	-0.144171610451193	0.0738525545555613	-1.95215468603363	0.0552975074530848
Olaparib3 in YFP-ALC1 siBRCA1	0.232676585386963	0.0738525545555613	3.15055568202335	0.0024781224769171
Olaparib1: siBRCA1 vs. siCtrl in YFP-ALC1	0.0999784534590507	0.104443284268374	0.957251145053517	0.342042677310212
Olaparib2: siBRCA1 vs. siCtrl in YFP-ALC1	-0.261717587911828	0.104443284268374	-2.50583452775507	0.0147699995936779
Olaparib3: siBRCA1 vs. siCtrl in YFP-ALC1	-0.118482835308724	0.104443284268374	-1.13442272654194	0.260848428173973
Olaparib1: YFP-ALC1 vs. WT in siBRCA1	-0.954347123378775	0.104443284268374	-9.13746757452129	3.25723289421984e-13
Olaparib2: YFP-ALC1 vs. WT in siBRCA1	-0.256086434838007	0.104443284268374	-2.45191863346596	0.016948651933706
Olaparib3: YFP-ALC1 vs. WT in siBRCA1	0.132049333791006	0.104443284268374	1.26431617615257	0.210701703928965
Olaparib1: siBRCA1 vs. siCtrl: YFP-ALC1 vs. WT	0.616390875813039	0.147705109111123	4.17311817798606	9.2409858856644e-05
Olaparib2: siBRCA1 vs. siCtrl: YFP-ALC1 vs. WT	0.234634235974426	0.147705109111123	1.58853161807628	0.117094634933121
Olaparib3: siBRCA1 vs. siCtrl: YFP-ALC1 vs. WT	-0.340449980058579	0.147705109111123	-2.30493029054566	0.0244244554251192
