	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in GFP h/d11	-1.42239095274189	0.102812155919594	-13.8348519201785	2.2707499059511e-18
Olaparib2 in GFP h/d11	-0.301595542580834	0.102812155919594	-2.93346190324714	0.0051263785978154
Olaparib3 in GFP h/d11	0.336552195706759	0.102812155919594	3.27346696211647	0.00197387783090666
Olaparib1: h/d11 vs. d11/d11 in GFP	-1.18565923135235	0.145398345278307	-8.15455794275292	1.28746356096234e-10
Olaparib2: h/d11 vs. d11/d11 in GFP	-0.176956335214119	0.145398345278307	-1.21704504184973	0.229537168947122
Olaparib3: h/d11 vs. d11/d11 in GFP	-0.140567213608647	0.145398345278307	-0.966773131699588	0.338503477328254
Olaparib1: GFP vs. GFP-ALC1 in h/d11	0.536372847144384	0.145398345278307	3.68898866158147	0.000573740887224465
Olaparib2: GFP vs. GFP-ALC1 in h/d11	0.165797594232795	0.145398345278307	1.14029904477552	0.259819677419696
Olaparib3: GFP vs. GFP-ALC1 in h/d11	-0.328373721544222	0.145398345278307	-2.258441943859	0.0285002802015001
Olaparib1: h/d11 vs. d11/d11: GFP vs. GFP-ALC1	0.0666423615864185	0.205624311839188	0.324097675952527	0.747272165182227
Olaparib2: h/d11 vs. d11/d11: GFP vs. GFP-ALC1	-0.206146693385229	0.205624311839188	-1.00254046586889	0.321110023425725
Olaparib3: h/d11 vs. d11/d11: GFP vs. GFP-ALC1	0.373650386221935	0.205624311839188	1.81715081684579	0.0754396922974832
