	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in GFP h/d11	-1.42239095274189	0.102812155919594	-13.8348519201785	2.2707499059511e-18
Olaparib2 in GFP h/d11	-0.301595542580835	0.102812155919594	-2.93346190324714	0.00512637859781538
Olaparib3 in GFP h/d11	0.336552195706758	0.102812155919594	3.27346696211647	0.00197387783090667
Olaparib1: GFP h/d11 vs. GFP-ALC1 h/d11	0.536372847144384	0.145398345278307	3.68898866158147	0.000573740887224468
Olaparib2: GFP h/d11 vs. GFP-ALC1 h/d11	0.165797594232795	0.145398345278307	1.14029904477552	0.259819677419695
Olaparib3: GFP h/d11 vs. GFP-ALC1 h/d11	-0.328373721544222	0.145398345278307	-2.258441943859	0.0285002802015001
Olaparib1: GFP h/d11 vs. GFP d11/d11	-1.18565923135235	0.145398345278307	-8.15455794275291	1.28746356096237e-10
Olaparib2: GFP h/d11 vs. GFP d11/d11	-0.176956335214119	0.145398345278307	-1.21704504184973	0.229537168947121
Olaparib3: GFP h/d11 vs. GFP d11/d11	-0.140567213608647	0.145398345278307	-0.966773131699587	0.338503477328255
Olaparib1: GFP h/d11 vs. GFP-ALC1 d11/d11	-0.58264402262155	0.145398345278307	-4.00722595230578	0.000213083271958141
Olaparib2: GFP h/d11 vs. GFP-ALC1 d11/d11	-0.217305434366553	0.145398345278307	-1.49455232073383	0.141576888983454
Olaparib3: GFP h/d11 vs. GFP-ALC1 d11/d11	-0.0952905489309342	0.145398345278307	-0.655375745497916	0.515354765100382
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in GFP-ALC1 h/d11	-0.886018105597509	0.102812155919594	-8.61783412352945	2.60751076037414e-11
Olaparib2 in GFP-ALC1 h/d11	-0.13579794834804	0.102812155919594	-1.32083552896452	0.192818984629593
Olaparib3 in GFP-ALC1 h/d11	0.00817847416253651	0.102812155919594	0.0795477352788189	0.936927688494952
Olaparib1: GFP-ALC1 h/d11 vs. GFP h/d11	-0.536372847144383	0.145398345278307	-3.68898866158147	0.000573740887224478
Olaparib2: GFP-ALC1 h/d11 vs. GFP h/d11	-0.165797594232795	0.145398345278307	-1.14029904477552	0.259819677419696
Olaparib3: GFP-ALC1 h/d11 vs. GFP h/d11	0.328373721544222	0.145398345278307	2.258441943859	0.0285002802015002
Olaparib1: GFP-ALC1 h/d11 vs. GFP d11/d11	-1.72203207849673	0.145398345278307	-11.8435466043344	7.50077020421532e-16
Olaparib2: GFP-ALC1 h/d11 vs. GFP d11/d11	-0.342753929446914	0.145398345278307	-2.35734408662525	0.0225315755535322
Olaparib3: GFP-ALC1 h/d11 vs. GFP d11/d11	0.187806507935575	0.145398345278307	1.29166881215941	0.202657021722137
Olaparib1: GFP-ALC1 h/d11 vs. GFP-ALC1 d11/d11	-1.11901686976593	0.145398345278307	-7.69621461388725	6.35606597996494e-10
Olaparib2: GFP-ALC1 h/d11 vs. GFP-ALC1 d11/d11	-0.383103028599348	0.145398345278307	-2.63485136550935	0.0112991065251505
Olaparib3: GFP-ALC1 h/d11 vs. GFP-ALC1 d11/d11	0.233083172613288	0.145398345278307	1.60306619836108	0.115480983067289
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in GFP d11/d11	-2.60805018409424	0.102812155919594	-25.367138357977	1.85753198086583e-29
Olaparib2 in GFP d11/d11	-0.478551877794954	0.102812155919594	-4.65462350744996	2.58529451459942e-05
Olaparib3 in GFP d11/d11	0.195984982098112	0.102812155919594	1.90624328752901	0.0626155147386495
Olaparib1: GFP d11/d11 vs. GFP h/d11	1.18565923135235	0.145398345278307	8.15455794275292	1.28746356096233e-10
Olaparib2: GFP d11/d11 vs. GFP h/d11	0.176956335214118	0.145398345278307	1.21704504184972	0.229537168947123
Olaparib3: GFP d11/d11 vs. GFP h/d11	0.140567213608647	0.145398345278307	0.96677313169959	0.338503477328253
Olaparib1: GFP d11/d11 vs. GFP-ALC1 h/d11	1.72203207849673	0.145398345278307	11.8435466043344	7.50077020421522e-16
Olaparib2: GFP d11/d11 vs. GFP-ALC1 h/d11	0.342753929446914	0.145398345278307	2.35734408662525	0.0225315755535321
Olaparib3: GFP d11/d11 vs. GFP-ALC1 h/d11	-0.187806507935575	0.145398345278307	-1.29166881215941	0.202657021722137
Olaparib1: GFP d11/d11 vs. GFP-ALC1 d11/d11	0.603015208730802	0.145398345278307	4.14733199044713	0.000136325781575899
Olaparib2: GFP d11/d11 vs. GFP-ALC1 d11/d11	-0.0403490991524347	0.145398345278307	-0.277507278884106	0.782582359632607
Olaparib3: GFP d11/d11 vs. GFP-ALC1 d11/d11	0.045276664677713	0.145398345278307	0.311397386201671	0.756847016986467
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in GFP-ALC1 d11/d11	-2.00503497536344	0.102812155919594	-19.5019252094228	1.8663910348478e-24
Olaparib2 in GFP-ALC1 d11/d11	-0.518900976947388	0.102812155919594	-5.04707806490512	6.86600762767975e-06
Olaparib3 in GFP-ALC1 d11/d11	0.241261646775825	0.102812155919594	2.34662569438294	0.0231193755416832
Olaparib1: GFP-ALC1 d11/d11 vs. GFP h/d11	0.58264402262155	0.145398345278307	4.00722595230578	0.000213083271958141
Olaparib2: GFP-ALC1 d11/d11 vs. GFP h/d11	0.217305434366553	0.145398345278307	1.49455232073383	0.141576888983453
Olaparib3: GFP-ALC1 d11/d11 vs. GFP h/d11	0.0952905489309342	0.145398345278307	0.655375745497917	0.515354765100381
Olaparib1: GFP-ALC1 d11/d11 vs. GFP-ALC1 h/d11	1.11901686976593	0.145398345278307	7.69621461388724	6.35606597996499e-10
Olaparib2: GFP-ALC1 d11/d11 vs. GFP-ALC1 h/d11	0.383103028599349	0.145398345278307	2.63485136550936	0.0112991065251503
Olaparib3: GFP-ALC1 d11/d11 vs. GFP-ALC1 h/d11	-0.233083172613288	0.145398345278307	-1.60306619836108	0.115480983067289
Olaparib1: GFP-ALC1 d11/d11 vs. GFP d11/d11	-0.603015208730801	0.145398345278307	-4.14733199044713	0.000136325781575902
Olaparib2: GFP-ALC1 d11/d11 vs. GFP d11/d11	0.0403490991524344	0.145398345278307	0.277507278884104	0.782582359632609
Olaparib3: GFP-ALC1 d11/d11 vs. GFP d11/d11	-0.0452766646777127	0.145398345278307	-0.311397386201669	0.756847016986469
