	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in GFP-ALC1 d11/d11	-2.00503497536344	0.102812155919594	-19.5019252094228	1.8663910348478e-24
Olaparib2 in GFP-ALC1 d11/d11	-0.518900976947388	0.102812155919594	-5.04707806490511	6.86600762767984e-06
Olaparib3 in GFP-ALC1 d11/d11	0.241261646775824	0.102812155919594	2.34662569438293	0.0231193755416836
Olaparib1: d11/d11 vs. h/d11 in GFP-ALC1	1.11901686976593	0.145398345278307	7.69621461388724	6.35606597996499e-10
Olaparib2: d11/d11 vs. h/d11 in GFP-ALC1	0.383103028599348	0.145398345278307	2.63485136550935	0.0112991065251505
Olaparib3: d11/d11 vs. h/d11 in GFP-ALC1	-0.233083172613287	0.145398345278307	-1.60306619836108	0.115480983067289
Olaparib1: GFP-ALC1 vs. GFP in d11/d11	-0.603015208730802	0.145398345278307	-4.14733199044713	0.0001363257815759
Olaparib2: GFP-ALC1 vs. GFP in d11/d11	0.0403490991524342	0.145398345278307	0.277507278884102	0.78258235963261
Olaparib3: GFP-ALC1 vs. GFP in d11/d11	-0.0452766646777125	0.145398345278307	-0.311397386201668	0.75684701698647
Olaparib1: d11/d11 vs. h/d11: GFP-ALC1 vs. GFP	0.066642361586419	0.205624311839188	0.324097675952529	0.747272165182225
Olaparib2: d11/d11 vs. h/d11: GFP-ALC1 vs. GFP	-0.20614669338523	0.205624311839188	-1.00254046586889	0.321110023425724
Olaparib3: d11/d11 vs. h/d11: GFP-ALC1 vs. GFP	0.373650386221934	0.205624311839188	1.81715081684579	0.0754396922974836
