	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in GFP d11/d11	-2.60805018409424	0.102812155919594	-25.3671383579769	1.85753198086586e-29
Olaparib2 in GFP d11/d11	-0.478551877794953	0.102812155919594	-4.65462350744996	2.5852945145994e-05
Olaparib3 in GFP d11/d11	0.195984982098112	0.102812155919594	1.906243287529	0.0626155147386501
Olaparib1: d11/d11 vs. h/d11 in GFP	1.18565923135235	0.145398345278307	8.15455794275291	1.28746356096237e-10
Olaparib2: d11/d11 vs. h/d11 in GFP	0.176956335214118	0.145398345278307	1.21704504184972	0.229537168947123
Olaparib3: d11/d11 vs. h/d11 in GFP	0.140567213608647	0.145398345278307	0.966773131699586	0.338503477328255
Olaparib1: GFP vs. GFP-ALC1 in d11/d11	0.603015208730801	0.145398345278307	4.14733199044713	0.000136325781575901
Olaparib2: GFP vs. GFP-ALC1 in d11/d11	-0.0403490991524344	0.145398345278307	-0.277507278884103	0.782582359632609
Olaparib3: GFP vs. GFP-ALC1 in d11/d11	0.0452766646777128	0.145398345278307	0.31139738620167	0.756847016986468
Olaparib1: d11/d11 vs. h/d11: GFP vs. GFP-ALC1	-0.0666423615864189	0.205624311839188	-0.324097675952528	0.747272165182226
Olaparib2: d11/d11 vs. h/d11: GFP vs. GFP-ALC1	0.20614669338523	0.205624311839188	1.00254046586889	0.321110023425723
Olaparib3: d11/d11 vs. h/d11: GFP vs. GFP-ALC1	-0.373650386221935	0.205624311839188	-1.81715081684579	0.0754396922974832
