	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in WT siCtrl	-1.8070860260776	0.0867680687886442	-20.8266249474727	3.56837845460282e-20
Olaparib2 in WT siCtrl	-0.744604844400641	0.0867680687886442	-8.58155373049045	8.3152942771629e-10
Olaparib3 in WT siCtrl	0.149550794521518	0.0867680687886442	1.72356947215	0.094436460196784
Olaparib1: WT siCtrl vs. WT siPARP1	0.40329970462228	0.122708579661822	3.28664634317951	0.00246492782526375
Olaparib2: WT siCtrl vs. WT siPARP1	0.265730806847873	0.122708579661822	2.16554382407661	0.0379076081403378
Olaparib3: WT siCtrl vs. WT siPARP1	-0.402465737028792	0.122708579661822	-3.27985001650222	0.00250963486123093
Olaparib1: WT siCtrl vs. ALC1KO siCtrl	-0.578658188326406	0.122708579661822	-4.71571091378577	4.53202364757456e-05
Olaparib2: WT siCtrl vs. ALC1KO siCtrl	1.4761548220362	0.122708579661822	12.0297604788874	2.0539478163982e-13
Olaparib3: WT siCtrl vs. ALC1KO siCtrl	-0.167184587439239	0.122708579661822	-1.36245230692091	0.182568168211289
Olaparib1: WT siCtrl vs. ALC1KO siPARP1	-0.0107701456722134	0.122708579661822	-0.0877701111193306	0.930606362706263
Olaparib2: WT siCtrl vs. ALC1KO siPARP1	0.223681968066194	0.122708579661822	1.82287146247352	0.0776781922690946
Olaparib3: WT siCtrl vs. ALC1KO siPARP1	-0.0475624790397321	0.122708579661822	-0.387605163150055	0.700874528002675
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in WT siPARP1	-1.40378632145532	0.0867680687886443	-16.1786051142243	5.81149956205918e-17
Olaparib2 in WT siPARP1	-0.478874037552769	0.0867680687886443	-5.51901228456799	4.38704573342403e-06
Olaparib3 in WT siPARP1	-0.252914942507273	0.0867680687886443	-2.91483890373706	0.00644783187258956
Olaparib1: WT siPARP1 vs. WT siCtrl	-0.40329970462228	0.122708579661822	-3.28664634317951	0.00246492782526375
Olaparib2: WT siPARP1 vs. WT siCtrl	-0.265730806847873	0.122708579661822	-2.16554382407661	0.0379076081403379
Olaparib3: WT siPARP1 vs. WT siCtrl	0.402465737028792	0.122708579661822	3.27985001650222	0.00250963486123093
Olaparib1: WT siPARP1 vs. ALC1KO siCtrl	-0.981957892948686	0.122708579661822	-8.00235725696527	3.90057672915589e-09
Olaparib2: WT siPARP1 vs. ALC1KO siCtrl	1.21042401518832	0.122708579661822	9.86421665481077	3.16430719712426e-11
Olaparib3: WT siPARP1 vs. ALC1KO siCtrl	0.235281149589553	0.122708579661822	1.9173977095813	0.0641512738454839
Olaparib1: WT siPARP1 vs. ALC1KO siPARP1	-0.414069850294493	0.122708579661822	-3.37441645429884	0.00195194161343676
Olaparib2: WT siPARP1 vs. ALC1KO siPARP1	-0.0420488387816784	0.122708579661822	-0.342672361603097	0.734085758416724
Olaparib3: WT siPARP1 vs. ALC1KO siPARP1	0.35490325798906	0.122708579661822	2.89224485335216	0.00682527691914667
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in ALC1KO siCtrl	-2.38574421440401	0.0867680687886442	-27.4956472779793	7.80408902985544e-24
Olaparib2 in ALC1KO siCtrl	0.731549977635554	0.0867680687886443	8.43109669085196	1.23731802786328e-09
Olaparib3 in ALC1KO siCtrl	-0.01763379291772	0.0867680687886442	-0.203229058384066	0.840242795391438
Olaparib1: ALC1KO siCtrl vs. WT siCtrl	0.578658188326407	0.122708579661822	4.71571091378577	4.53202364757452e-05
Olaparib2: ALC1KO siCtrl vs. WT siCtrl	-1.4761548220362	0.122708579661822	-12.0297604788874	2.05394781639819e-13
Olaparib3: ALC1KO siCtrl vs. WT siCtrl	0.167184587439238	0.122708579661822	1.36245230692091	0.182568168211289
Olaparib1: ALC1KO siCtrl vs. WT siPARP1	0.981957892948685	0.122708579661822	8.00235725696527	3.90057672915593e-09
Olaparib2: ALC1KO siCtrl vs. WT siPARP1	-1.21042401518832	0.122708579661822	-9.86421665481078	3.16430719712424e-11
Olaparib3: ALC1KO siCtrl vs. WT siPARP1	-0.235281149589553	0.122708579661822	-1.91739770958131	0.0641512738454837
Olaparib1: ALC1KO siCtrl vs. ALC1KO siPARP1	0.567888042654192	0.122708579661822	4.62794080266644	5.84009600713273e-05
Olaparib2: ALC1KO siCtrl vs. ALC1KO siPARP1	-1.25247285397	0.122708579661822	-10.2068890164139	1.370407310815e-11
Olaparib3: ALC1KO siCtrl vs. ALC1KO siPARP1	0.119622108399506	0.122708579661822	0.974847143770854	0.336948267843165
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in ALC1KO siPARP1	-1.81785617174982	0.0867680687886443	-20.9507506289886	2.9879004313695e-20
Olaparib2 in ALC1KO siPARP1	-0.520922876334447	0.0867680687886443	-6.00362418579751	1.07410765578824e-06
Olaparib3 in ALC1KO siPARP1	0.101988315481786	0.0867680687886442	1.17541299357735	0.248501265566575
Olaparib1: ALC1KO siPARP1 vs. WT siCtrl	0.0107701456722135	0.122708579661822	0.0877701111193314	0.930606362706263
Olaparib2: ALC1KO siPARP1 vs. WT siCtrl	-0.223681968066194	0.122708579661822	-1.82287146247352	0.077678192269095
Olaparib3: ALC1KO siPARP1 vs. WT siCtrl	0.0475624790397322	0.122708579661822	0.387605163150055	0.700874528002675
Olaparib1: ALC1KO siPARP1 vs. WT siPARP1	0.414069850294493	0.122708579661822	3.37441645429884	0.00195194161343675
Olaparib2: ALC1KO siPARP1 vs. WT siPARP1	0.0420488387816784	0.122708579661822	0.342672361603097	0.734085758416724
Olaparib3: ALC1KO siPARP1 vs. WT siPARP1	-0.35490325798906	0.122708579661822	-2.89224485335216	0.00682527691914668
Olaparib1: ALC1KO siPARP1 vs. ALC1KO siCtrl	-0.567888042654193	0.122708579661822	-4.62794080266644	5.84009600713276e-05
Olaparib2: ALC1KO siPARP1 vs. ALC1KO siCtrl	1.25247285397	0.122708579661822	10.2068890164139	1.37040731081499e-11
Olaparib3: ALC1KO siPARP1 vs. ALC1KO siCtrl	-0.119622108399506	0.122708579661822	-0.974847143770858	0.336948267843163
