	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in ALC1KO siCtrl	-2.38574421440401	0.0867680687886443	-27.4956472779793	7.80408902985566e-24
Olaparib2 in ALC1KO siCtrl	0.731549977635555	0.0867680687886443	8.43109669085197	1.23731802786327e-09
Olaparib3 in ALC1KO siCtrl	-0.0176337929177198	0.0867680687886442	-0.203229058384063	0.84024279539144
Olaparib1: siCtrl vs. siPARP1 in ALC1KO	0.567888042654193	0.122708579661822	4.62794080266644	5.84009600713276e-05
Olaparib2: siCtrl vs. siPARP1 in ALC1KO	-1.25247285397	0.122708579661822	-10.2068890164139	1.370407310815e-11
Olaparib3: siCtrl vs. siPARP1 in ALC1KO	0.119622108399506	0.122708579661822	0.974847143770856	0.336948267843164
Olaparib1: ALC1KO vs. WT in siCtrl	0.578658188326407	0.122708579661822	4.71571091378577	4.53202364757452e-05
Olaparib2: ALC1KO vs. WT in siCtrl	-1.4761548220362	0.122708579661822	-12.0297604788874	2.05394781639817e-13
Olaparib3: ALC1KO vs. WT in siCtrl	0.167184587439238	0.122708579661822	1.36245230692091	0.182568168211289
Olaparib1: siCtrl vs. siPARP1: ALC1KO vs. WT	-0.164588338031914	0.173536137577289	-0.94843840787116	0.350014405309769
Olaparib2: siCtrl vs. siPARP1: ALC1KO vs. WT	1.51820366081787	0.173536137577289	8.74863116128596	5.36642832856014e-10
Olaparib3: siCtrl vs. siPARP1: ALC1KO vs. WT	-0.522087845428298	0.173536137577289	-3.00852521392424	0.00508280462082427
