	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in WT siCtrl	-1.8070860260776	0.0867680687886442	-20.8266249474727	3.56837845460282e-20
Olaparib2 in WT siCtrl	-0.744604844400641	0.0867680687886441	-8.58155373049045	8.31529427716281e-10
Olaparib3 in WT siCtrl	0.149550794521519	0.0867680687886442	1.72356947215	0.094436460196783
Olaparib1: siCtrl vs. siPARP1 in WT	0.403299704622279	0.122708579661822	3.2866463431795	0.00246492782526376
Olaparib2: siCtrl vs. siPARP1 in WT	0.265730806847872	0.122708579661822	2.16554382407661	0.037907608140338
Olaparib3: siCtrl vs. siPARP1 in WT	-0.402465737028793	0.122708579661822	-3.27985001650223	0.00250963486123087
Olaparib1: WT vs. ALC1KO in siCtrl	-0.578658188326406	0.122708579661822	-4.71571091378577	4.53202364757455e-05
Olaparib2: WT vs. ALC1KO in siCtrl	1.4761548220362	0.122708579661822	12.0297604788874	2.05394781639818e-13
Olaparib3: WT vs. ALC1KO in siCtrl	-0.167184587439239	0.122708579661822	-1.36245230692092	0.182568168211288
Olaparib1: siCtrl vs. siPARP1: WT vs. ALC1KO	0.164588338031914	0.173536137577288	0.948438407871159	0.350014405309769
Olaparib2: siCtrl vs. siPARP1: WT vs. ALC1KO	-1.51820366081787	0.173536137577288	-8.74863116128596	5.36642832856014e-10
Olaparib3: siCtrl vs. siPARP1: WT vs. ALC1KO	0.522087845428299	0.173536137577288	3.00852521392424	0.00508280462082421
