	Estimate	Std. Error	t value	Pr(>|t|)
Niraparib1 in ALC1KO	-3.39255009263979	0.175094988849423	-19.3754836442366	1.80369098562817e-28
Niraparib2 in ALC1KO	-0.83420958612393	0.175094988849422	-4.76432587594686	1.12864869065721e-05
Niraparib3 in ALC1KO	0.474372659902589	0.175094988849422	2.70923036130142	0.00864324832595483
Niraparib1: ALC1KO vs. WT	0.849158881696874	0.247621707934419	3.4292586412568	0.00106384844315961
Niraparib2: ALC1KO vs. WT	-1.27393760915938	0.247621707934419	-5.14469276456479	2.74968345018953e-06
Niraparib3: ALC1KO vs. WT	-1.27765593816504	0.247621707934419	-5.15970893191409	2.59847220378033e-06
Niraparib1: ALC1KO vs. PARP1KO	3.22769766133293	0.247621707934419	13.0347928227188	1.12867971876636e-19
Niraparib2: ALC1KO vs. PARP1KO	0.616696307700381	0.247621707934419	2.49047756291104	0.0153632854023377
Niraparib3: ALC1KO vs. PARP1KO	-0.513964144062209	0.247621707934419	-2.0756021285433	0.0419541683499127
Niraparib1: ALC1KO vs. ALC1KO PARP1KO	2.25935293129504	0.247621707934419	9.12421188813304	3.43507623144982e-13
Niraparib2: ALC1KO vs. ALC1KO PARP1KO	0.119099191607998	0.247621707934419	0.48097233720535	0.632176431051682
Niraparib3: ALC1KO vs. ALC1KO PARP1KO	-0.586880265287482	0.247621707934419	-2.37006791602824	0.0208098723456504
