	Estimate	Std. Error	t value	Pr(>|t|)
Niraparib1 in WT	-2.54339121094291	0.175094988849422	-14.5257795648862	6.19305961808726e-22
Niraparib2 in WT	-2.10814719528331	0.175094988849422	-12.0400201578371	4.258924358589e-18
Niraparib3 in WT	-0.803283278262454	0.175094988849422	-4.58769998810908	2.14242741869602e-05
Niraparib1: WT vs. PARP1KO	2.37853877963606	0.247621707934419	9.60553418146199	5.02551640748059e-14
Niraparib2: WT vs. PARP1KO	1.89063391685976	0.247621707934419	7.63517032747583	1.41799013913061e-10
Niraparib3: WT vs. PARP1KO	0.763691794102836	0.247621707934419	3.08410680337079	0.00301273476694651
Niraparib1: WT vs. ALC1KO	-0.849158881696871	0.247621707934419	-3.42925864125679	0.00106384844315965
Niraparib2: WT vs. ALC1KO	1.27393760915938	0.247621707934419	5.14469276456479	2.74968345018954e-06
Niraparib3: WT vs. ALC1KO	1.27765593816504	0.247621707934419	5.15970893191409	2.59847220378026e-06
Niraparib1: WT vs. ALC1KO PARP1KO	1.41019404959816	0.247621707934419	5.69495324687625	3.3437071445089e-07
Niraparib2: WT vs. ALC1KO PARP1KO	1.39303680076738	0.247621707934419	5.62566510177014	4.3751465481235e-07
Niraparib3: WT vs. ALC1KO PARP1KO	0.690775672877563	0.247621707934419	2.78964101588585	0.00694349767480459
