	Estimate	Std. Error	t value	Pr(>|t|)
Etoposide1 in WT siCtrl	-2.05089597314776	0.171839845953747	-11.9349267439392	4.50126643931559e-14
Etoposide2 in WT siCtrl	0.0820224688770308	0.171839845953747	0.477319264468547	0.636020001760053
Etoposide1: WT siCtrl vs. WT siPARP1	-0.499000150085425	0.243018240703892	-2.05334442649281	0.0473592268479592
Etoposide2: WT siCtrl vs. WT siPARP1	0.255326472043213	0.243018240703892	1.0506473559502	0.300422539553981
Etoposide1: WT siCtrl vs. ALC1KO siCtrl	-0.509007003921821	0.243018240703892	-2.09452180399094	0.0433145276502511
Etoposide2: WT siCtrl vs. ALC1KO siCtrl	0.233685286905743	0.243018240703892	0.961595665530633	0.34266744506608
Etoposide1: WT siCtrl vs. ALC1KO siPARP1	-0.541585372334173	0.243018240703892	-2.22857910075184	0.0321763829886209
Etoposide2: WT siCtrl vs. ALC1KO siPARP1	0.209900679393995	0.243018240703892	0.863723968974621	0.393457939328747
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Etoposide1 in WT siPARP1	-2.54989612323319	0.171839845953747	-14.8387942801085	6.47346911516987e-17
Etoposide2 in WT siPARP1	0.337348940920244	0.171839845953747	1.96315900452475	0.057389314837942
Etoposide1: WT siPARP1 vs. WT siCtrl	0.499000150085425	0.243018240703892	2.05334442649281	0.0473592268479591
Etoposide2: WT siPARP1 vs. WT siCtrl	-0.255326472043213	0.243018240703892	-1.0506473559502	0.30042253955398
Etoposide1: WT siPARP1 vs. ALC1KO siCtrl	-0.0100068538363958	0.243018240703892	-0.0411773774981308	0.967382018934894
Etoposide2: WT siPARP1 vs. ALC1KO siCtrl	-0.02164118513747	0.243018240703892	-0.0890516904195635	0.929534410352039
Etoposide1: WT siPARP1 vs. ALC1KO siPARP1	-0.0425852222487481	0.243018240703892	-0.175234674259026	0.861877146504279
Etoposide2: WT siPARP1 vs. ALC1KO siPARP1	-0.0454257926492177	0.243018240703892	-0.186923386975578	0.852770171915629
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Etoposide1 in ALC1KO siCtrl	-2.55990297706958	0.171839845953747	-14.8970278858293	5.73129351094676e-17
Etoposide2 in ALC1KO siCtrl	0.315707755782774	0.171839845953747	1.83722089618116	0.0744433098244054
Etoposide1: ALC1KO siCtrl vs. WT siCtrl	0.509007003921821	0.243018240703892	2.09452180399094	0.0433145276502509
Etoposide2: ALC1KO siCtrl vs. WT siCtrl	-0.233685286905743	0.243018240703892	-0.961595665530636	0.342667445066079
Etoposide1: ALC1KO siCtrl vs. WT siPARP1	0.0100068538363956	0.243018240703892	0.04117737749813	0.967382018934895
Etoposide2: ALC1KO siCtrl vs. WT siPARP1	0.0216411851374696	0.243018240703892	0.0890516904195622	0.92953441035204
Etoposide1: ALC1KO siCtrl vs. ALC1KO siPARP1	-0.0325783684123525	0.243018240703892	-0.134057296760896	0.89410392252416
Etoposide2: ALC1KO siCtrl vs. ALC1KO siPARP1	-0.0237846075117481	0.243018240703892	-0.0978716965560155	0.922577078532391
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Etoposide1 in ALC1KO siPARP1	-2.59248134548194	0.171839845953747	-15.0866135330437	3.8647487610858e-17
Etoposide2 in ALC1KO siPARP1	0.291923148271026	0.171839845953747	1.69880941553918	0.097982952086634
Etoposide1: ALC1KO siPARP1 vs. WT siCtrl	0.541585372334174	0.243018240703892	2.22857910075184	0.0321763829886207
Etoposide2: ALC1KO siPARP1 vs. WT siCtrl	-0.209900679393996	0.243018240703892	-0.863723968974622	0.393457939328746
Etoposide1: ALC1KO siPARP1 vs. WT siPARP1	0.0425852222487481	0.243018240703892	0.175234674259026	0.861877146504279
Etoposide2: ALC1KO siPARP1 vs. WT siPARP1	0.0454257926492176	0.243018240703892	0.186923386975577	0.85277017191563
Etoposide1: ALC1KO siPARP1 vs. ALC1KO siCtrl	0.0325783684123525	0.243018240703892	0.134057296760896	0.89410392252416
Etoposide2: ALC1KO siPARP1 vs. ALC1KO siCtrl	0.0237846075117477	0.243018240703892	0.0978716965560139	0.922577078532392
