	Estimate	Std. Error	t value	Pr(>|t|)
Bleomycin1 in WT siCtrl	-2.20724953581982	0.148006717352231	-14.9131713432096	5.54139058941528e-17
Bleomycin2 in WT siCtrl	0.151007701149305	0.148006717352231	1.02027599727066	0.31440541935922
Bleomycin1: WT siCtrl vs. WT siPARP1	-0.133619431371995	0.209313107001846	-0.638371066608918	0.527272616521956
Bleomycin2: WT siCtrl vs. WT siPARP1	0.832781633043968	0.209313107001846	3.97864063542195	0.000320862692201849
Bleomycin1: WT siCtrl vs. ALC1KO siCtrl	-0.195222324978553	0.209313107001846	-0.932680842470276	0.357198279661309
Bleomycin2: WT siCtrl vs. ALC1KO siCtrl	0.913211510862856	0.209313107001846	4.36289692481991	0.000103219430011164
Bleomycin1: WT siCtrl vs. ALC1KO siPARP1	-0.190190984299765	0.209313107001846	-0.908643452978256	0.369581471153345
Bleomycin2: WT siCtrl vs. ALC1KO siPARP1	0.751585352881242	0.209313107001846	3.59072283454573	0.000976143023341115
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Bleomycin1 in WT siPARP1	-2.34086896719181	0.148006717352231	-15.8159643634346	8.77488799517057e-18
Bleomycin2 in WT siPARP1	0.983789334193272	0.148006717352231	6.6469235436931	9.5809414340215e-08
Bleomycin1: WT siPARP1 vs. WT siCtrl	0.133619431371996	0.209313107001846	0.638371066608923	0.527272616521953
Bleomycin2: WT siPARP1 vs. WT siCtrl	-0.832781633043969	0.209313107001846	-3.97864063542196	0.000320862692201844
Bleomycin1: WT siPARP1 vs. ALC1KO siCtrl	-0.0616028936065571	0.209313107001846	-0.294309775861354	0.770211594491086
Bleomycin2: WT siPARP1 vs. ALC1KO siCtrl	0.0804298778188882	0.209313107001846	0.384256289397963	0.703048963792996
Bleomycin1: WT siPARP1 vs. ALC1KO siPARP1	-0.0565715529277694	0.209313107001846	-0.270272386369337	0.788494150744571
Bleomycin2: WT siPARP1 vs. ALC1KO siPARP1	-0.0811962801627261	0.209313107001846	-0.387917800876225	0.700361234042296
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Bleomycin1 in ALC1KO siCtrl	-2.40247186079837	0.148006717352231	-16.2321812399967	3.85267020434145e-18
Bleomycin2 in ALC1KO siCtrl	1.06421921201216	0.148006717352231	7.19034399958686	1.85031088918465e-08
Bleomycin1: ALC1KO siCtrl vs. WT siCtrl	0.195222324978553	0.209313107001846	0.932680842470277	0.357198279661308
Bleomycin2: ALC1KO siCtrl vs. WT siCtrl	-0.913211510862857	0.209313107001846	-4.36289692481992	0.000103219430011163
Bleomycin1: ALC1KO siCtrl vs. WT siPARP1	0.0616028936065573	0.209313107001846	0.294309775861356	0.770211594491085
Bleomycin2: ALC1KO siCtrl vs. WT siPARP1	-0.0804298778188883	0.209313107001846	-0.384256289397964	0.703048963792995
Bleomycin1: ALC1KO siCtrl vs. ALC1KO siPARP1	0.00503134067878784	0.209313107001846	0.0240373894920181	0.980955532512297
Bleomycin2: ALC1KO siCtrl vs. ALC1KO siPARP1	-0.161626157981614	0.209313107001846	-0.772174090274189	0.445051175059896
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
Bleomycin1 in ALC1KO siPARP1	-2.39744052011958	0.148006717352231	-16.198187237773	4.11807841586369e-18
Bleomycin2 in ALC1KO siPARP1	0.902593054030546	0.148006717352231	6.09832492860799	5.13666758350977e-07
Bleomycin1: ALC1KO siPARP1 vs. WT siCtrl	0.190190984299765	0.209313107001846	0.90864345297826	0.369581471153343
Bleomycin2: ALC1KO siPARP1 vs. WT siCtrl	-0.751585352881243	0.209313107001846	-3.59072283454573	0.000976143023341108
Bleomycin1: ALC1KO siPARP1 vs. WT siPARP1	0.0565715529277697	0.209313107001846	0.270272386369339	0.78849415074457
Bleomycin2: ALC1KO siPARP1 vs. WT siPARP1	0.0811962801627258	0.209313107001846	0.387917800876223	0.700361234042297
Bleomycin1: ALC1KO siPARP1 vs. ALC1KO siCtrl	-0.0050313406787873	0.209313107001846	-0.0240373894920155	0.980955532512299
Bleomycin2: ALC1KO siPARP1 vs. ALC1KO siCtrl	0.161626157981614	0.209313107001846	0.772174090274185	0.445051175059898
