	Estimate	Std. Error	t value	Pr(>|t|)
H2O21 in WT siCtrl	-2.27003515461441	0.0797498084490118	-28.4644590220648	2.6879852564703e-24
H2O22 in WT siCtrl	0.055582209498987	0.0797498084490118	0.696957279019968	0.490862097833551
H2O23 in WT siCtrl	-0.347722023516663	0.0797498084490119	-4.36016123774114	0.000126079556263124
H2O21: WT siCtrl vs. WT siPARP1	-0.139574335378521	0.112783260705249	-1.23754477841608	0.224888957024894
H2O22: WT siCtrl vs. WT siPARP1	0.717591978535631	0.112783260705249	6.36257520884244	3.81539932606091e-07
H2O23: WT siCtrl vs. WT siPARP1	0.0134139265815889	0.112783260705249	0.118935438625464	0.90607001785152
H2O21: WT siCtrl vs. ALC1KO siCtrl	-0.203992354035676	0.112783260705249	-1.808711264066	0.0799010199604822
H2O22: WT siCtrl vs. ALC1KO siCtrl	0.628989911877421	0.112783260705249	5.5769793136345	3.70605888350499e-06
H2O23: WT siCtrl vs. ALC1KO siCtrl	0.104146837235073	0.112783260705249	0.923424598507159	0.362696920397221
H2O21: WT siCtrl vs. ALC1KO siPARP1	-0.27981847999089	0.112783260705249	-2.48102846327679	0.0185451097043286
H2O22: WT siCtrl vs. ALC1KO siPARP1	0.537623833502519	0.112783260705249	4.76687613162347	3.90830530879578e-05
H2O23: WT siCtrl vs. ALC1KO siPARP1	0.120734152875756	0.112783260705249	1.07049709434529	0.292403803251932
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
H2O21 in WT siPARP1	-2.40960948999293	0.079749808449012	-30.2146116317448	4.25662996634127e-25
H2O22 in WT siPARP1	0.773174188034618	0.0797498084490119	9.69499743098377	4.81066624413091e-11
H2O23 in WT siPARP1	-0.334308096935073	0.0797498084490119	-4.19196112739021	0.000203630728740787
H2O21: WT siPARP1 vs. WT siCtrl	0.139574335378521	0.112783260705249	1.23754477841608	0.224888957024895
H2O22: WT siPARP1 vs. WT siCtrl	-0.717591978535632	0.112783260705249	-6.36257520884244	3.8153993260609e-07
H2O23: WT siPARP1 vs. WT siCtrl	-0.0134139265815893	0.112783260705249	-0.118935438625467	0.906070017851518
H2O21: WT siPARP1 vs. ALC1KO siCtrl	-0.0644180186571553	0.112783260705249	-0.571166485649915	0.571876753814003
H2O22: WT siPARP1 vs. ALC1KO siCtrl	-0.0886020666582109	0.112783260705249	-0.785595895207942	0.43788270308442
H2O23: WT siPARP1 vs. ALC1KO siCtrl	0.0907329106534838	0.112783260705249	0.804489159881692	0.427051268716881
H2O21: WT siPARP1 vs. ALC1KO siPARP1	-0.14024414461237	0.112783260705249	-1.24348368486071	0.222722854668466
H2O22: WT siPARP1 vs. ALC1KO siPARP1	-0.179968145033112	0.112783260705249	-1.59569907721896	0.120386101654647
H2O23: WT siPARP1 vs. ALC1KO siPARP1	0.107320226294167	0.112783260705249	0.951561655719818	0.348451790466573
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
H2O21 in ALC1KO siCtrl	-2.47402750865009	0.079749808449012	-31.0223630221238	1.88002826559352e-25
H2O22 in ALC1KO siCtrl	0.684572121376407	0.0797498084490119	8.58399706143606	8.26199677407477e-10
H2O23 in ALC1KO siCtrl	-0.24357518628159	0.0797498084490119	-3.05424164670339	0.0045206436798558
H2O21: ALC1KO siCtrl vs. WT siCtrl	0.203992354035676	0.112783260705249	1.80871126406599	0.0799010199604832
H2O22: ALC1KO siCtrl vs. WT siCtrl	-0.628989911877421	0.112783260705249	-5.5769793136345	3.70605888350499e-06
H2O23: ALC1KO siCtrl vs. WT siCtrl	-0.104146837235073	0.112783260705249	-0.92342459850716	0.362696920397221
H2O21: ALC1KO siCtrl vs. WT siPARP1	0.0644180186571549	0.112783260705249	0.571166485649912	0.571876753814006
H2O22: ALC1KO siCtrl vs. WT siPARP1	0.0886020666582108	0.112783260705249	0.78559589520794	0.43788270308442
H2O23: ALC1KO siCtrl vs. WT siPARP1	-0.0907329106534839	0.112783260705249	-0.804489159881694	0.42705126871688
H2O21: ALC1KO siCtrl vs. ALC1KO siPARP1	-0.0758261259552146	0.112783260705249	-0.6723171992108	0.506207626175979
H2O22: ALC1KO siCtrl vs. ALC1KO siPARP1	-0.0913660783749008	0.112783260705249	-0.81010318201102	0.42386454313548
H2O23: ALC1KO siCtrl vs. ALC1KO siPARP1	0.016587315640683	0.112783260705249	0.147072495838125	0.883997514730453
	 	 	 	 
	Estimate	Std. Error	t value	Pr(>|t|)
H2O21 in ALC1KO siPARP1	-2.5498536346053	0.079749808449012	-31.9731631234644	7.3680079471463e-26
H2O22 in ALC1KO siPARP1	0.593206043001507	0.0797498084490119	7.43833815451448	1.82740752837856e-08
H2O23 in ALC1KO siPARP1	-0.226987870640907	0.0797498084490119	-2.84624972843705	0.00765875177985675
H2O21: ALC1KO siPARP1 vs. WT siCtrl	0.279818479990891	0.112783260705249	2.48102846327679	0.0185451097043286
H2O22: ALC1KO siPARP1 vs. WT siCtrl	-0.53762383350252	0.112783260705249	-4.76687613162348	3.9083053087957e-05
H2O23: ALC1KO siPARP1 vs. WT siCtrl	-0.120734152875756	0.112783260705249	-1.07049709434529	0.292403803251932
H2O21: ALC1KO siPARP1 vs. WT siPARP1	0.14024414461237	0.112783260705249	1.24348368486071	0.222722854668467
H2O22: ALC1KO siPARP1 vs. WT siPARP1	0.179968145033111	0.112783260705249	1.59569907721896	0.120386101654648
H2O23: ALC1KO siPARP1 vs. WT siPARP1	-0.107320226294167	0.112783260705249	-0.95156165571982	0.348451790466572
H2O21: ALC1KO siPARP1 vs. ALC1KO siCtrl	0.0758261259552144	0.112783260705249	0.672317199210798	0.506207626175981
H2O22: ALC1KO siPARP1 vs. ALC1KO siCtrl	0.0913660783749008	0.112783260705249	0.810103182011019	0.42386454313548
H2O23: ALC1KO siPARP1 vs. ALC1KO siCtrl	-0.0165873156406831	0.112783260705249	-0.147072495838127	0.883997514730452
