	Estimate	Std. Error	t value	Pr(>|t|)
H2O21 in WT siCtrl	-2.27003515461441	0.0797498084490118	-28.4644590220648	2.68798525647026e-24
H2O22 in WT siCtrl	0.0555822094989868	0.0797498084490118	0.696957279019967	0.490862097833552
H2O23 in WT siCtrl	-0.347722023516662	0.0797498084490119	-4.36016123774114	0.000126079556263124
H2O21: siCtrl vs. siPARP1 in WT	-0.139574335378521	0.112783260705249	-1.23754477841608	0.224888957024894
H2O22: siCtrl vs. siPARP1 in WT	0.717591978535632	0.112783260705249	6.36257520884244	3.81539932606088e-07
H2O23: siCtrl vs. siPARP1 in WT	0.0134139265815888	0.112783260705249	0.118935438625463	0.906070017851522
H2O21: WT vs. ALC1KO in siCtrl	-0.203992354035676	0.112783260705249	-1.808711264066	0.0799010199604816
H2O22: WT vs. ALC1KO in siCtrl	0.628989911877421	0.112783260705249	5.5769793136345	3.70605888350494e-06
H2O23: WT vs. ALC1KO in siCtrl	0.104146837235073	0.112783260705249	0.923424598507158	0.362696920397222
H2O21: siCtrl vs. siPARP1: WT vs. ALC1KO	0.0637482094233069	0.159499616898024	0.399676254169716	0.692050302508372
H2O22: siCtrl vs. siPARP1: WT vs. ALC1KO	-0.808958056910533	0.159499616898024	-5.0718495294427	1.61253584251692e-05
H2O23: siCtrl vs. siPARP1: WT vs. ALC1KO	0.00317338905909421	0.159499616898024	0.0198959039577075	0.984249954366847
