	Estimate	Std. Error	t value	Pr(>|t|)
H2O21 in ALC1KO siCtrl	-2.47402750865009	0.079749808449012	-31.0223630221238	1.88002826559352e-25
H2O22 in ALC1KO siCtrl	0.684572121376407	0.0797498084490119	8.58399706143607	8.26199677407468e-10
H2O23 in ALC1KO siCtrl	-0.24357518628159	0.0797498084490119	-3.05424164670339	0.00452064367985582
H2O21: siCtrl vs. siPARP1 in ALC1KO	-0.0758261259552146	0.112783260705249	-0.672317199210801	0.506207626175979
H2O22: siCtrl vs. siPARP1 in ALC1KO	-0.0913660783749011	0.112783260705249	-0.810103182011022	0.423864543135479
H2O23: siCtrl vs. siPARP1 in ALC1KO	0.0165873156406828	0.112783260705249	0.147072495838124	0.883997514730454
H2O21: ALC1KO vs. WT in siCtrl	0.203992354035676	0.112783260705249	1.808711264066	0.0799010199604826
H2O22: ALC1KO vs. WT in siCtrl	-0.628989911877421	0.112783260705249	-5.5769793136345	3.70605888350494e-06
H2O23: ALC1KO vs. WT in siCtrl	-0.104146837235073	0.112783260705249	-0.923424598507159	0.362696920397221
H2O21: siCtrl vs. siPARP1: ALC1KO vs. WT	-0.0637482094233068	0.159499616898024	-0.399676254169715	0.692050302508373
H2O22: siCtrl vs. siPARP1: ALC1KO vs. WT	0.808958056910533	0.159499616898024	5.0718495294427	1.61253584251691e-05
H2O23: siCtrl vs. siPARP1: ALC1KO vs. WT	-0.00317338905909401	0.159499616898024	-0.0198959039577061	0.984249954366848
