	Estimate	Std. Error	t value	Pr(>|t|)
Olaparib1 in WT siCtrl	-1.65910911578171	0.256150503795378	-6.47708706872995	3.16361194854051e-09
Olaparib2 in WT siCtrl	-0.740846467414371	0.256150503795379	-2.89223115487675	0.00465899341397335
Olaparib1: siCtrl vs. si53BP1 in WT	-0.342512391245167	0.362251516476125	-0.945509889308473	0.346590200282227
Olaparib2: siCtrl vs. si53BP1 in WT	0.143967375803384	0.362251516476125	0.397423804333121	0.691869465300072
Olaparib1: siCtrl vs. si53BP1+siBRCA1 in WT	-0.0200466038027619	0.362251516476125	-0.0553389092688123	0.955974636690503
Olaparib2: siCtrl vs. si53BP1+siBRCA1 in WT	0.735154867423783	0.362251516476125	2.02940452692966	0.0449712482886171
Olaparib1: siCtrl vs. siBRCA1 in WT	-1.08274171743713	0.362251516476125	-2.98892252534845	0.00349381721340883
Olaparib2: siCtrl vs. siBRCA1 in WT	0.830907892925077	0.362251516476125	2.29373199319606	0.0238166044550411
Olaparib1: WT vs. ALC1KO in siCtrl	-1.77624181375736	0.362251516476125	-4.90333851749225	3.48832558585202e-06
Olaparib2: WT vs. ALC1KO in siCtrl	1.62543258488972	0.362251516476125	4.48702768921837	1.86981356878835e-05
Olaparib1: siCtrl vs. si53BP1: WT vs. ALC1KO	0.360025816168265	0.512301007590756	0.702762264437836	0.483774017703744
Olaparib2: siCtrl vs. si53BP1: WT vs. ALC1KO	-0.527875075029793	0.512301007590756	-1.03040022800712	0.305212540304066
Olaparib1: siCtrl vs. si53BP1+siBRCA1: WT vs. ALC1KO	-0.186264004710152	0.512301007590756	-0.363583131694612	0.716907363608204
Olaparib2: siCtrl vs. si53BP1+siBRCA1: WT vs. ALC1KO	-0.509928222440395	0.512301007590757	-0.995368376959632	0.321867414921564
Olaparib1: siCtrl vs. siBRCA1: WT vs. ALC1KO	0.647226112660202	0.512301007590756	1.26337075873415	0.209280806097573
Olaparib2: siCtrl vs. siBRCA1: WT vs. ALC1KO	-1.21567525974252	0.512301007590757	-2.37297065929966	0.0194828262105079
