genotype	NT	olaparib_30nM	olaparib_300nM	olaparib_3000nM
WT 	2550	2460	1504	1112
PARP1 KO	2816	2652	2640	1648
ALC1 KO #1	2448	1016	860	560
ALC1 KO #2	4024	2176	1792	1117
ALC1 KO #3	3296	1524	1274	826
ALC1 KO PARP1 KO #1	3376	2877	2496	1664
ALC1 KO PARP1 KO #2	3332	2912	2164	2080
WT 	3296	2512	1864	1256
PARP1 KO	2992	2632	2480	1832
ALC1 KO #1	2860	1456	1060	636
ALC1 KO #2	3440	1852	928	664
ALC1 KO #3	2976	1776	1266	832
ALC1 KO PARP1 KO #1	4384	4120	3176	2864
ALC1 KO PARP1 KO #2	2704	2328	2064	1416
WT 	2784	2704	2184	1424
PARP1 KO	1759	1714	1688	1219
ALC1 KO #1	3800	2452	1988	1078
ALC1 KO #2	3688	2628	2024	1352
ALC1 KO #3	3504	2592	2184	1344
ALC1 KO PARP1 KO #1	3984	3532	3104	3072
ALC1 KO PARP1 KO #2	1056	967	876	620
WT 	3288	2792	2496	1742
PARP1 KO	1631	1554	1468	1058
ALC1 KO #1	3264	1932	1488	874
ALC1 KO #2	3488	1840	1768	1040
ALC1 KO #3	3024	2016	1428	822
ALC1 KO PARP1 KO #1	3600	2880	2864	2328
ALC1 KO PARP1 KO #2	1776	1746	1507	906
