genotype	NT	30 nM	300 nM	3000 nM	30000 nM
WT 	22.01058	14.99513	27.16387	40.27288	38.03325
PARP1 KO	24.99867	28.56546	32.87948	28.45025	28.54532
ALC1 KO 	12.1162	39.52356	45.58298	61.03559	64.13278049
ALC1 KO PARP1 KO 	12.52204	14.80034	19.89682	26.65366	20.0544
WT 	27.32625	31.84060667	25.66671667	29.00732333	49.9187
PARP1 KO	98.22147667	135.5780233	114.79064	85.43816667	67.05497333
ALC1 KO 	30.10425	120.7700567	156.3650933	152.38575	122.6863467
ALC1 KO PARP1 KO 	38.1062	20.10777667	23.18651667	24.74054	6.578636667
WT 	42.88251333	45.64701	47.50491333	52.09927	84.33524333
PARP1 KO	51.33272667	91.06651333	36.30962667	30.68798667	83.42283333
ALC1 KO 	54.28341333	141.7007033	192.9938167	189.15404	156.7066033
ALC1 KO PARP1 KO 	27.83732667	50.46166	32.71616333	28.70225	33.34086333
