WT	NT	MMS_0,0003	MMS_0,0006	MMS_0,001
NT	2272	1946	1676	1422
OP_30 nM	2050	1777	1512	1228
OP_300 nM	1876	1568	1232	1044
OP_3000 nM	1348	1221	888	568
NT	1224	1110	1051	920
OP_30 nM	1140	1020	892	696
OP_300 nM	1080	808	596	425
OP_3000 nM	952	652	432	245
NT	1608	1553	1295	1121
OP_30 nM	1542	1264	1120	838
OP_300 nM	1208	920	755	488
OP_3000 nM	850	732	600	385
PARP1 KO	NT	MMS_0,0003	MMS_0,0006	MMS_0,001
NT	1004	756	615	388
OP_30 nM	960	740	540	324
OP_300 nM	896	670	522	244
OP_3000 nM	728	630	477	212
NT	1150	955	677	422
OP_30 nM	1030	888	544	398
OP_300 nM	900	857	512	212
OP_3000 nM	754	688	410	156
NT	988	756	621	328
OP_30 nM	1020	678	554	222
OP_300 nM	828	655	468	128
OP_3000 nM	668	545	365	120
ALC1 KO	NT	MMS_0,0003	MMS_0,0006	MMS_0,001
NT	2336	1756	1396	700
OP_30 nM	1944	896	740	121
OP_300 nM	776	616	441	101
OP_3000 nM	405	324	112	38
NT	1760	1540	966	588
OP_30 nM	952	710	450	120
OP_300 nM	422	368	320	77
OP_3000 nM	332	210	102	62
NT	1968	1568	999	652
OP_30 nM	911	896	620	210
OP_300 nM	711	669	410	141
OP_3000 nM	321	114	95	40
ALC1 KO PARP1 KO 	NT	MMS_0,0003	MMS_0,0006	MMS_0,001
NT	2424	1855	1355	751
OP_30 nM	2400	1755	1080	422
OP_300 nM	2322	1641	850	355
OP_3000 nM	2188	1555	742	288
NT	1677	1489	1023	612
OP_30 nM	1512	1255	741	355
OP_300 nM	1155	1099	612	355
OP_3000 nM	922	958	588	244
NT	1366	1120	785	433
OP_30 nM	1125	980	536	328
OP_300 nM	1024	964	488	299
OP_3000 nM	952	922	399	288


