genotype	NT	2h	4h	6h
WT 	8.366666667	35.6	29.56666667	21.23333333
PARP1 KO	6.7	57.23333333	46.26666667	45.96666667
ALC1 KO 	6.533333333	56.96666667	59.76666667	55.66666667
ALC1 KO PARP1 KO 	6.4	55.26666667	43	46.4
WT 	7.3	36.13333333	29.73333333	23
PARP1 KO	7.966666667	48.96666667	49.6	43.93333333
ALC1 KO 	10.6	54.16666667	59.83333333	57.93333333
ALC1 KO PARP1 KO 	8.3	53.43333333	46.23333333	42.43333333
WT 	7.233333333	34.06666667	35.43333333	20.66666667
PARP1 KO	7.233333333	39.76666667	41.26666667	33.56666667
ALC1 KO 	7.233333333	54.46666667	52.1	55.13333333
ALC1 KO PARP1 KO 	6.433333333	42.43333333	42.9	35.96666667
