genotype	NT	2h	4h	6h
WT 	6.9	35.4	26.33333333	22.93333333
PARP1 KO	7	57.9	43.13333333	31.96666667
ALC1 KO 	7.033333333	56.46666667	43.33333333	33.2
ALC1 KO PARP1 KO 	7.733333333	57.4	44.6	34
WT 	6.966666667	35.7	25.53333333	23.56666667
PARP1 KO	6.866666667	55.73333333	44.36666667	38.7
ALC1 KO 	6.466666667	54.56666667	42.23333333	32.76666667
ALC1 KO PARP1 KO 	7	55.4	49.5	32.86666667
WT 	7.6	37.13333333	32.93333333	23.03333333
PARP1 KO	8.033333333	52.7	35.03333333	31.6
ALC1 KO 	7.8	52.33333333	34.03333333	33.3
ALC1 KO PARP1 KO 	7.5	52.26666667	34	34.7
