genotype	NT	olaparib_30nM	olaparib_300nM	olaparib_3000nM
WT + siCtrl	2668	2328	2108	1012
WT + si53BP1	2336	1888	1336	796
WT + siBRCA1	1080	804	486	246
WT + si53BP1 + siBRCA1	1360	992	840	468
ALC1 KO + siCtrl	1960	1040	576	378
ALC1 KO + si53BP1	1672	792	536	388
ALC1 KO + siBRCA1	752	324	164	71
ALC1 KO + si53BP1 + siBRCA1	788	478	293	142
WT + siCtrl	3072	2864	2768	2084
WT + si53BP1	3208	2984	2500	1886
WT + siBRCA1	2376	1352	1112	1020
WT + si53BP1 + siBRCA1	2744	2592	2016	1832
ALC1 KO + siCtrl	2064	1032	488	411
ALC1 KO + si53BP1	1424	988	536	416
ALC1 KO + siBRCA1	372	195	94	68
ALC1 KO + si53BP1 + siBRCA1	612	153	64	45
WT + siCtrl	2744	2728	2464	1838
WT + si53BP1	2800	2608	2320	1748
WT + siBRCA1	1848	1256	1020	768
WT + si53BP1 + siBRCA1	2328	2624	2104	2064
ALC1 KO + siCtrl	2048	988	812	540
ALC1 KO + si53BP1	1624	1096	528	304
ALC1 KO + siBRCA1	380	376	126	47
ALC1 KO + si53BP1 + siBRCA1	896	288	168	75
WT + siCtrl	1576	1496	1328	948
WT + si53BP1	2088	1960	1856	1076
WT + siBRCA1	608	512	376	191
WT + si53BP1 + siBRCA1	1352	960	796	876
ALC1 KO + siCtrl	1304	436	396	85
ALC1 KO + si53BP1	370	184	111	38
ALC1 KO + siBRCA1	580	224	108	11
ALC1 KO + si53BP1 + siBRCA1	1416	712	500	312
