genotype	NT	olaparib_30nM	olaparib_300nM	olaparib_3000nM
h/Δ11  +  GFP	2850	2670	1956	1980
h/Δ11 +  GFP-ALC1	2600	2320	2150	2010
Δ11/Δ11 +  GFP	1576	1296	660	109
Δ11/Δ11 + GFP-ALC1	1010	880	550	360
h/Δ11  +  GFP	2620	2570	1675	1480
h/Δ11 +  GFP-ALC1	2450	2120	1980	1840
Δ11/Δ11 +  GFP	1740	1300	740	95
Δ11/Δ11 + GFP-ALC1	920	820	520	220
h/Δ11  +  GFP	2356	2184	1586	1148
h/Δ11 +  GFP-ALC1	2192	2066	1760	1518
Δ11/Δ11 +  GFP	840	680	440	180
Δ11/Δ11 + GFP-ALC1	396	356	288	140
h/Δ11  +  GFP	2256	2052	1552	1020
h/Δ11 +  GFP-ALC1	2260	2120	1850	1314
Δ11/Δ11 +  GFP	816	632	340	152
Δ11/Δ11 + GFP-ALC1	528	482	284	211
