genotype	NT	veliparib_30nM	veliparib_300nM	veliparib_3000nM
WT	875	978.5	930	875.5
PARP1KO	763	804	723.5	749
ALC1KO	726	680.5	478	173.5
ALC1KO PARP1KO	458.5	571	507.5	515.5
WT	632	682	650	720.5
PARP1KO	892	916	856	896
ALC1KO	982	1009	1000.5	797.5
ALC1KO PARP1KO	720	775.5	707	753
WT	645.5	682.5	600	736.5
PARP1KO	923	913	879.5	901
ALC1KO	963	1062.5	959	801
ALC1KO PARP1KO	744	710.5	733.5	766
WT	953	967	950.5	977.5
PARP1KO	783	895.5	905.5	884
ALC1KO	850	797	677	269.5
ALC1KO PARP1KO	950	960.5	983.5	930
WT	789.5	788.5	709	748.5
PARP1KO	802.5	799	795	856
ALC1KO	927	688.5	493	226.5
ALC1KO PARP1KO	969.5	969.5	932.5	881
