genotype	NT	niraparib_30nM	niraparib_300nM	niraparib_3000nM
WT	875	827	706	10
PARP1KO	763	751	784.5	593.5
ALC1KO	726	412	202.5	0
ALC1KO PARP1KO	458.5	458	391.5	148.5
WT	632	697	616	155.5
PARP1KO	892	965	859	930
ALC1KO	982	1033	629	2
ALC1KO PARP1KO	720	753.5	716	560.5
WT	645.5	686	676	140
PARP1KO	923	948.5	901.5	943.5
ALC1KO	963	1064	580.5	4.5
ALC1KO PARP1KO	744	792.5	686	585.5
WT	953	970	924	50
PARP1KO	783	818.5	831.5	740.5
ALC1KO	850	689	208.5	1
ALC1KO PARP1KO	950	889	786.5	623
WT	789.5	825.5	806	84
PARP1KO	802.5	787	821.5	752
ALC1KO	927	750	179.5	0.5
ALC1KO PARP1KO	969.5	947.5	922.5	661.5
