U2OS WT_NT	ALC1 KO_NT	U2OS WT_OP	ALC1 KO_OP
16.91394659	77.15133531	52.52225519	72.25519288
14.83679525	40.50445104	39.61424332	60.38575668
17.8041543	43.62017804	20.91988131	72.40356083
12.90801187	44.51038576	34.56973294	58.45697329
19.73293769	45.54896142	24.92581602	80.26706231
11.8694362	32.64094955	19.73293769	72.25519288
11.8694362	41.54302671	45.54896142	65.28189911
18.84272997	41.83976261	18.84272997	73.29376855
15.87537092	38.57566766	35.60830861	73.29376855
18.24925816	33.67952522	51.48367953	65.28189911
11.8694362	45.54896142	26.70623145	78.18991098
28.93175074	27.74480712	36.64688427	66.46884273
19.13946588	31.60237389	33.67952522	72.25519288
21.81008902	39.61424332	30.71216617	67.35905045
20.77151335	35.60830861	24.77744807	55.48961424
18.84272997	39.61424332	27.74480712	63.64985163
39.61424332	33.67952522	34.56973294	70.17804154
15.87537092	42.58160237	37.53709199	62.31454006
18.84272997	35.60830861	43.76854599	68.24925816
19.73293769	29.6735905	26.2611276	70.17804154
18.10089021	37.68545994	25.66765579	68.24925816
18.10089021	26.70623145	31.60237389	65.28189911
21.36498516	32.64094955	24.77744807	70.47477745
20.91988131	31.60237389	27.74480712	68.39762611
25.07418398	27.74480712	24.77744807	62.31454006
15.57863501	23.7388724	27.74480712	66.46884273
23.29376855	30.71216617	21.81008902	75.22255193
23.14540059	40.65281899	21.81008902	64.24332344
18.84272997	25.66765579	22.70029674	59.34718101
13.79821958	38.4272997	19.73293769	67.35905045
16.46884273	28.63501484	18.84272997	68.39762611
23.14540059	39.61424332	23.7388724	64.39169139
22.70029674	26.85459941	28.63501484	75.22255193
16.91394659	31.60237389	26.70623145	64.24332344
20.77151335	35.60830861	20.77151335	70.3264095
22.10682493	33.67952522	18.84272997	73.29376855
28.48664688	18.84272997	23.7388724	69.28783383
21.66172107	25.66765579	26.70623145	70.17804154
23.14540059	30.71216617	27.74480712	72.25519288
15.13353116	29.6735905	19.73293769	70.47477745
16.91394659	27.74480712	19.88130564	65.28189911
23.88724036	19.73293769	20.77151335	64.24332344
21.21661721	28.33827893	19.73293769	71.36498516
11.8694362	28.93175074	19.73293769	75.22255193
16.76557864	24.77744807	15.87537092	66.32047478
20.3264095	23.88724036	15.87537092	74.33234421
25.22255193	27.59643917	24.03560831	63.35311573
26.70623145	36.49851632	20.77151335	64.39169139
25.22255193	39.16913947	22.99703264	56.37982196
23.88724036	24.92581602	20.91988131	61.27596439
19.73293769	37.68545994	36.64688427	66.32047478
20.3264095	27.74480712	21.81008902	73.29376855
27.44807122	43.47181009	31.00890208	67.35905045
24.92581602	24.92581602	19.73293769	71.51335312
20.91988131	39.61424332	16.91394659	63.35311573
14.54005935	39.61424332	16.91394659	70.3264095
26.85459941	48.51632047	23.88724036	66.32047478
18.24925816	26.70623145	19.73293769	87.24035608
20.3264095	31.00890208	20.91988131	47.47774481
19.88130564	37.83382789	22.84866469	64.54005935
29.52522255	27.74480712	21.81008902	47.77448071
19.73293769	28.63501484	20.77151335	58.45697329
18.84272997	38.57566766	18.54599407	57.56676558
19.88130564	41.54302671	17.8041543	56.37982196
25.37091988	26.85459941	20.77151335	70.6231454
29.97032641	45.54896142	26.70623145	67.21068249
16.17210682	43.47181009	28.63501484	70.47477745
19.13946588	24.77744807	22.70029674	71.21661721
22.99703264	39.61424332	20.77151335	66.32047478
18.54599407	30.86053412	24.77744807	51.48367953
19.73293769	35.60830861	27.74480712	68.39762611
19.88130564	31.75074184	28.93175074	71.51335312
18.24925816	28.63501484	23.7388724	62.31454006
23.7388724	37.68545994	23.7388724	69.28783383
18.84272997	28.63501484	26.85459941	61.42433234
29.6735905	39.61424332	23.7388724	65.28189911
19.73293769	34.71810089	21.21661721	64.39169139
21.81008902	34.86646884	20.77151335	59.49554896
23.4421365	38.57566766	27.15133531	71.51335312
26.2611276	42.58160237	19.88130564	61.42433234
21.81008902	37.68545994	22.84866469	71.21661721
20.3264095	23.7388724	23.14540059	64.39169139
25.22255193	29.6735905	20.77151335	69.28783383
28.04154303	30.71216617	22.25519288	75.22255193
31.60237389	27.74480712	22.70029674	71.21661721
50.14836795	37.53709199	20.6231454	67.21068249
18.84272997	30.71216617	23.14540059	61.8694362
21.95845697	27.74480712	19.13946588	64.24332344
19.88130564	24.77744807	22.70029674	66.46884273
15.87537092	26.70623145	20.77151335	69.28783383
21.66172107	29.6735905	21.81008902	71.21661721
20.3264095	28.78338279	23.7388724	73.29376855
19.58456973	39.61424332	24.77744807	67.35905045
31.45400593	28.78338279	19.88130564	70.3264095
21.66172107	23.7388724	19.73293769	70.3264095
27.74480712	32.64094955	24.77744807	66.32047478
16.17210682	31.60237389	20.77151335	76.2611276
18.24925816	27.74480712	21.95845697	72.25519288
24.48071217	33.67952522	21.81008902	76.11275964
27.89317507	30.71216617	21.21661721	70.17804154
13.79821958	22.10682493	24.77744807	64.24332344
14.09495549	19.43620178	19.88130564	81.15727003
15.57863501	22.84866469	28.78338279	62.31454006
14.83679525	21.66172107	31.00890208	49.40652819
12.90801187	19.88130564	34.56973294	101.9287834
18.10089021	21.21661721	44.51038576	76.11275964
18.69436202	17.8041543	31.00890208	87.09198813
17.06231454	25.37091988	22.70029674	49.40652819
20.91988131	22.70029674	33.97626113	55.34124629
17.21068249	18.84272997	30.11869436	89.02077151
20.3264095	25.66765579	38.4272997	59.34718101
21.21661721	17.06231454	34.42136499	58.45697329
15.87537092	20.3264095	26.85459941	99.85163205
17.5074184	25.66765579	24.48071217	97.92284866
18.84272997	20.02967359	20.77151335	108.9020772
18.69436202	20.91988131	19.13946588	97.03264095
14.83679525	19.73293769	36.64688427	63.35311573
14.83679525	22.70029674	20.91988131	130.5637982
21.36498516	16.76557864	29.6735905	82.04747774
16.17210682	14.09495549	29.3768546	96.884273
19.43620178	19.58456973	36.05341246	90.05934718
14.09495549	20.91988131	23.88724036	78.18991098
14.83679525	22.10682493	25.66765579	91.98813056
13.05637982	23.88724036	27.00296736	76.2611276
20.17804154	19.73293769	28.63501484	93.02670623
22.40356083	20.77151335	31.60237389	85.0148368
16.91394659	21.66172107	25.37091988	118.694362
15.13353116	20.17804154	29.3768546	131.7507418
14.83679525	23.29376855	39.31750742	95.99406528
9.347181009	23.14540059	29.6735905	102.8189911
15.13353116	20.91988131	21.66172107	103.8575668
16.76557864	22.55192878	25.07418398	135.4599407
14.83679525	23.14540059	30.71216617	132.4925816
13.35311573	18.10089021	30.71216617	87.98219585
16.91394659	19.73293769	20.3264095	66.32047478
15.57863501	22.10682493	21.06824926	90.9495549
16.91394659	20.02967359	14.54005935	122.7002967
17.8041543	18.69436202	23.4421365	91.98813056
14.24332344	21.36498516	23.88724036	53.41246291
16.76557864	18.84272997	21.81008902	73.14540059
17.8041543	23.7388724	24.77744807	59.34718101
16.17210682	22.25519288	24.18397626	70.3264095
16.91394659	21.81008902	24.48071217	63.35311573
18.84272997	19.88130564	20.77151335	65.28189911
16.91394659	20.77151335	21.21661721	76.11275964
18.54599407	23.29376855	22.70029674	91.98813056
17.8041543	18.84272997	31.60237389	67.21068249
17.21068249	22.10682493	21.95845697	96.884273
