WT_noXray_noOP	KO_noXray_noOP	WT_Xray_noOP	KO_Xray_noOP	WT_Xray_OP	KO_Xray_OP
18.24925816	18.84272997	25.66765579	21.81008902	19.73293769	33.08605341
22.25519288	19.28783383	24.18397626	25.66765579	15.43026706	30.11869436
16.76557864	18.24925816	21.21661721	18.24925816	19.28783383	47.92284866
20.77151335	15.87537092	30.11869436	27.15133531	23.7388724	31.60237389
14.83679525	19.73293769	21.21661721	27.29970326	17.8041543	35.60830861
18.24925816	14.83679525	22.25519288	22.25519288	23.7388724	38.57566766
15.28189911	15.28189911	22.25519288	35.60830861	21.81008902	29.6735905
19.28783383	16.32047478	23.29376855	28.63501484	21.21661721	39.02077151
18.84272997	17.8041543	18.84272997	35.16320475	22.25519288	43.02670623
17.8041543	17.35905045	27.15133531	26.2611276	31.15727003	41.54302671
15.87537092	18.24925816	30.11869436	32.64094955	18.84272997	39.16913947
18.84272997	18.24925816	22.70029674	25.22255193	20.77151335	34.12462908
20.77151335	13.79821958	33.67952522	32.1958457	22.70029674	41.09792285
15.87537092	15.87537092	21.81008902	36.64688427	17.8041543	87.53709199
23.29376855	19.28783383	23.7388724	30.71216617	32.1958457	39.02077151
22.70029674	16.91394659	24.18397626	28.63501484	21.81008902	44.95548961
17.8041543	16.76557864	24.77744807	25.22255193	21.81008902	51.92878338
22.25519288	19.73293769	24.18397626	33.67952522	23.7388724	82.1958457
22.70029674	18.39762611	27.15133531	32.64094955	30.71216617	58.30860534
14.83679525	16.32047478	34.12462908	34.56973294	25.22255193	58.30860534
24.77744807	19.73293769	27.74480712	39.61424332	28.63501484	80.11869436
16.76557864	15.43026706	31.60237389	26.70623145	20.77151335	57.41839763
18.24925816	15.87537092	23.29376855	34.56973294	27.15133531	79.22848665
22.70029674	17.35905045	18.24925816	31.15727003	17.35905045	87.98219585
23.29376855	17.35905045	27.74480712	38.1305638	20.77151335	51.48367953
19.73293769	15.28189911	30.11869436	44.0652819	21.81008902	44.95548961
22.25519288	17.8041543	33.23442136	45.10385757	21.21661721	57.86350148
17.35905045	15.28189911	32.64094955	37.53709199	22.70029674	55.9347181
22.25519288	19.73293769	31.60237389	31.15727003	19.28783383	78.63501484
17.35905045	17.8041543	25.66765579	33.08605341	17.35905045	70.3264095
14.83679525	16.32047478	28.63501484	41.54302671	20.77151335	56.97329377
14.83679525	15.87537092	20.77151335	42.58160237	19.28783383	59.94065282
21.81008902	13.79821958	29.22848665	41.54302671	22.25519288	85.75667656
18.24925816	10.83086053	25.22255193	23.29376855	22.70029674	87.53709199
22.70029674	13.35311573	24.18397626	37.09198813	17.35905045	76.70623145
11.42433234	17.35905045	21.81008902	37.53709199	23.29376855	59.49554896
12.90801187	17.35905045	11.42433234	23.7388724	17.8041543	61.8694362
19.28783383	20.3264095	28.63501484	31.60237389	21.81008902	78.78338279
20.3264095	12.31454006	21.95845697	27.74480712	21.81008902	41.09792285
14.83679525	13.79821958	23.88724036	25.66765579	25.66765579	92.13649852
19.28783383	18.84272997	22.25519288	38.1305638	19.28783383	68.84272997
19.28783383	15.43026706	23.29376855	35.60830861	26.2611276	98.36795252
19.28783383	13.35311573	23.7388724	34.56973294	20.3264095	91.54302671
15.28189911	12.46290801	28.63501484	40.50445104	16.76557864	91.98813056
15.87537092	18.39762611	23.7388724	22.25519288	20.3264095	52.07715134
19.28783383	13.94658754	24.77744807	28.63501484	19.73293769	61.27596439
21.21661721	21.21661721	23.29376855	33.67952522	19.28783383	54.89614243
15.87537092	15.28189911	26.2611276	30.11869436	19.73293769	53.70919881
20.3264095	17.35905045	26.2611276	23.29376855	27.15133531	55.9347181
15.87537092	11.8694362	25.66765579	24.77744807	20.3264095	62.16617211
20.77151335	16.91394659	25.37091988	32.1958457	19.73293769	69.73293769
18.84272997	12.31454006	20.77151335	20.77151335	19.28783383	68.24925816
18.39762611	18.39762611	22.70029674	26.2611276	19.73293769	64.24332344
16.76557864	13.35311573	26.70623145	27.74480712	20.77151335	57.41839763
18.24925816	17.8041543	25.66765579	27.15133531	19.73293769	35.75667656
18.84272997	15.43026706	31.75074184	26.70623145	23.7388724	94.0652819
15.87537092	15.87537092	24.77744807	31.60237389	17.35905045	73.7388724
15.87537092	13.79821958	28.63501484	32.64094955	25.66765579	52.96735905
15.87537092	10.38575668	24.33234421	27.74480712	26.2611276	49.55489614
19.28783383	12.46290801	26.2611276	33.67952522	20.3264095	40.65281899
18.84272997	16.32047478	28.63501484	27.29970326	23.7388724	55.34124629
18.84272997	12.01780415	23.29376855	32.64094955	20.77151335	44.51038576
21.21661721	14.39169139	23.7388724	27.74480712	17.35905045	38.57566766
20.77151335	15.87537092	28.18991098	30.71216617	19.73293769	54.00593472
22.70029674	13.94658754	28.18991098	37.09198813	17.35905045	84.56973294
24.77744807	14.9851632	25.22255193	27.74480712	23.29376855	38.57566766
19.28783383	13.94658754	30.11869436	34.12462908	17.35905045	41.54302671
22.84866469	12.46290801	27.74480712	25.81602374	21.21661721	44.0652819
18.84272997	18.84272997	27.74480712	36.64688427	18.84272997	38.57566766
16.32047478	16.76557864	27.29970326	34.12462908	27.74480712	42.72997033
22.70029674	15.28189911	27.74480712	31.15727003	24.77744807	35.75667656
17.8041543	13.50148368	25.22255193	23.7388724	22.70029674	40.20771513
17.8041543	16.32047478	20.77151335	32.64094955	22.25519288	44.0652819
20.3264095	12.90801187	24.33234421	22.70029674	24.18397626	41.09792285
21.81008902	14.83679525	29.22848665	30.71216617	25.22255193	51.48367953
20.3264095	13.79821958	21.81008902	23.7388724	18.84272997	40.05934718
21.21661721	15.87537092	24.33234421	20.3264095	26.2611276	48.96142433
21.81008902	17.8041543	29.6735905	21.21661721	25.37091988	60.53412463
19.73293769	15.87537092	23.7388724	25.66765579	19.73293769	39.02077151
19.73293769	17.35905045	16.76557864	26.70623145	25.22255193	73.7388724
19.73293769	18.24925816	22.70029674	35.60830861	22.25519288	39.16913947
19.73293769	17.8041543	18.39762611	29.22848665	22.25519288	42.58160237
17.35905045	16.32047478	14.39169139	36.05341246	28.63501484	93.91691395
22.25519288	18.24925816	15.28189911	29.22848665	25.66765579	45.54896142
15.28189911	18.84272997	17.8041543	33.08605341	22.70029674	41.09792285
16.32047478	15.43026706	16.76557864	41.09792285	20.3264095	47.47774481
19.73293769	17.8041543	16.76557864	41.09792285	20.3264095	43.02670623
16.76557864	17.95252226	18.84272997	35.16320475	18.24925816	90.50445104
19.73293769	15.87537092	19.73293769	33.67952522	21.21661721	56.82492582
19.28783383	15.87537092	21.36498516	29.6735905	24.77744807	48.51632047
15.87537092	17.8041543	18.84272997	20.3264095	25.22255193	36.20178042
20.3264095	19.28783383	16.91394659	22.25519288	28.78338279	83.08605341
15.28189911	15.28189911	9.198813056	19.28783383	23.29376855	30.26706231
21.21661721	14.39169139	18.24925816	23.29376855	23.29376855	64.39169139
17.35905045	14.39169139	13.79821958	22.84866469	31.60237389	50
24.18397626	15.87537092	16.76557864	22.25519288	31.15727003	90.50445104
22.25519288	15.87537092	15.87537092	22.70029674	21.21661721	38.1305638
21.21661721	16.32047478	18.39762611	22.25519288	26.70623145	42.58160237
21.81008902	15.87537092	16.32047478	25.22255193	25.22255193	38.57566766
21.21661721	15.87537092	12.31454006	21.36498516	25.66765579	60.83086053
14.83679525	13.35311573	14.39169139	22.70029674	16.32047478	26.5578635
14.39169139	13.35311573	13.79821958	16.32047478	12.31454006	32.4925816
15.28189911	16.32047478	20.77151335	18.24925816	23.4421365	34.12462908
12.31454006	12.90801187	19.13946588	18.24925816	24.33234421	33.53115727
13.79821958	13.35311573	14.39169139	18.84272997	16.02373887	27.74480712
15.28189911	18.24925816	14.83679525	17.35905045	16.91394659	33.67952522
18.39762611	8.902077151	15.13353116	16.32047478	18.24925816	29.6735905
16.91394659	14.83679525	16.02373887	23.29376855	16.32047478	28.33827893
19.28783383	13.35311573	20.02967359	23.7388724	17.8041543	25.51928783
13.35311573	14.83679525	20.17804154	22.25519288	17.8041543	26.2611276
13.79821958	13.35311573	15.87537092	16.91394659	15.28189911	48.36795252
12.90801187	14.39169139	16.76557864	20.02967359	16.76557864	33.67952522
15.28189911	15.28189911	18.39762611	17.06231454	13.79821958	29.6735905
15.87537092	11.42433234	21.36498516	14.39169139	15.43026706	29.6735905
13.35311573	12.90801187	17.35905045	18.24925816	18.84272997	45.10385757
13.35311573	16.76557864	15.72700297	15.57863501	18.84272997	39.16913947
17.35905045	11.42433234	18.24925816	15.13353116	17.35905045	45.54896142
12.90801187	13.79821958	20.91988131	17.5074184	18.24925816	43.02670623
15.28189911	12.90801187	20.77151335	16.61721068	18.24925816	32.34421365
15.28189911	11.42433234	20.47477745	20.77151335	20.91988131	33.67952522
12.46290801	12.90801187	15.57863501	16.91394659	16.76557864	32.64094955
13.35311573	23.29376855	23.29376855	17.5074184	17.35905045	37.24035608
11.42433234	10.97922849	14.6884273	19.73293769	14.54005935	44.65875371
13.94658754	13.79821958	20.3264095	19.73293769	18.84272997	28.18991098
10.97922849	16.32047478	21.36498516	21.21661721	16.17210682	29.22848665
13.35311573	11.8694362	16.76557864	20.6231454	17.35905045	32.34421365
12.90801187	13.79821958	16.91394659	19.73293769	17.5074184	34.71810089
15.87537092	14.39169139	18.39762611	20.3264095	15.43026706	39.16913947
15.87537092	10.38575668	14.83679525	19.88130564	16.46884273	24.33234421
14.83679525	14.83679525	23.29376855	20.3264095	15.43026706	36.05341246
12.90801187	14.39169139	20.77151335	21.36498516	16.76557864	33.08605341
12.90801187	11.8694362	23.29376855	18.99109792	16.17210682	29.22848665
13.35311573	16.32047478	14.83679525	16.61721068	15.72700297	27.15133531
18.84272997	12.90801187	17.06231454	17.8041543	18.24925816	26.2611276
13.79821958	13.35311573	16.32047478	16.17210682	15.43026706	35.60830861
15.28189911	13.35311573	16.17210682	21.81008902	13.50148368	27.74480712
13.05637982	11.42433234	18.39762611	18.84272997	19.88130564	29.52522255
12.90801187	11.8694362	16.91394659	19.28783383	14.83679525	57.86350148
13.35311573	13.79821958	19.88130564	16.02373887	16.76557864	36.64688427
11.42433234	18.84272997	18.24925816	17.06231454	13.94658754	30.71216617
19.88130564	10.38575668	22.25519288	19.13946588	16.32047478	28.78338279
14.83679525	20.3264095	18.39762611	16.02373887	19.28783383	27.74480712
10.38575668	15.28189911	13.35311573	15.72700297	12.16617211	31.30563798
16.32047478	14.39169139	15.43026706	18.39762611	14.6884273	29.52522255
14.83679525	22.70029674	15.13353116	16.91394659	15.72700297	30.56379822
13.35311573	16.32047478	15.87537092	22.25519288	15.87537092	32.1958457
13.35311573	22.40356083	16.46884273	17.5074184	16.91394659	28.18991098
